gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2017-08-18,20:30 ,Bayern Munich,2.6,3–1,1.6,Leverkusen,"75,000",Allianz Arena,Tobias Stieler,Bundesliga,1,Carlo Ancelotti,Bayern Munich,4-3-3,Sven Ulreich,de GER,29-015,90,4,1,3,75.0,0.9,7,11,63.6,23,5,17.4,26.9,14,50.0,43.8,8,1,12.5,0,8.3
1,Fri,2017-08-18,20:30 ,Bayern Munich,2.6,3–1,1.6,Leverkusen,"75,000",Allianz Arena,Tobias Stieler,Bundesliga,1,Heiko Herrlich,Leverkusen,4-2-3-1,Bernd Leno,de GER,25-167,90,8,3,5,75.0,3.5,2,12,16.7,26,3,42.3,32.1,8,12.5,30.5,12,0,0.0,1,9.5
1,Sat,2017-08-19,15:30 ,Hertha BSC,0.5,2–0,1.0,Stuttgart,"44,751",Olympiastadion Berlin,Sascha Stegemann,Bundesliga,1,Pál Dárdai,Hertha BSC,4-4-2,Rune Jarstein,no NOR,32-324,90,2,0,2,100.0,0.1,5,10,50.0,20,6,20.0,32.4,8,75.0,51.6,8,0,0.0,0,12.3
1,Sat,2017-08-19,15:30 ,Hertha BSC,0.5,2–0,1.0,Stuttgart,"44,751",Olympiastadion Berlin,Sascha Stegemann,Bundesliga,1,Hannes Wolf,Stuttgart,4-4-2,Ron-Robert Zieler,de GER,28-188,90,4,2,2,50.0,1.2,6,19,31.6,25,2,52.0,41.8,7,85.7,64.6,12,0,0.0,1,15.0
1,Sat,2017-08-19,15:30 ,Mainz 05,0.7,0–1,0.7,Hannover 96,"28,279",Opel Arena,Felix Brych,Bundesliga,1,Sandro Schwarz,Mainz 05,4-2-3-1,René Adler,de GER,32-216,90,2,1,1,50.0,0.6,2,6,33.3,31,3,6.5,21.5,5,80.0,50.0,3,0,0.0,1,19.3
1,Sat,2017-08-19,15:30 ,Mainz 05,0.7,0–1,0.7,Hannover 96,"28,279",Opel Arena,Felix Brych,Bundesliga,1,André Breitenreiter,Hannover 96,4-4-2,Philipp Tschauner,de GER,31-289,90,5,0,5,100.0,0.5,12,21,57.1,31,3,51.6,38.2,12,41.7,37.8,21,0,0.0,0,14.0
1,Sat,2017-08-19,15:30 ,Wolfsburg,0.4,0–3,1.0,Dortmund,"30,000",Volkswagen Arena,Robert Hartmann,Bundesliga,1,Andries Jonker,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,25-055,90,5,3,2,40.0,1.9,9,30,30.0,24,3,91.7,55.6,8,100.0,68.0,9,0,0.0,2,23.5
1,Sat,2017-08-19,15:30 ,Wolfsburg,0.4,0–3,1.0,Dortmund,"30,000",Volkswagen Arena,Robert Hartmann,Bundesliga,1,Peter Bosz,Dortmund,4-3-3,Roman Bürki,ch SUI,26-278,90,0,0,0,,0.0,3,13,23.1,41,2,26.8,31.1,5,40.0,42.0,8,0,0.0,3,24.3
1,Sat,2017-08-19,15:30 ,Hoffenheim,1.0,1–0,0.9,Werder Bremen,"30,150",Dietmar-Hopp-Stadion,Guido Winkmann,Bundesliga,1,Julian Nagelsmann,Hoffenheim,3-1-4-2,Oliver Baumann,de GER,27-078,90,2,0,2,100.0,0.2,5,15,33.3,30,1,36.7,36.8,4,100.0,66.5,9,0,0.0,1,16.3
1,Sat,2017-08-19,15:30 ,Hoffenheim,1.0,1–0,0.9,Werder Bremen,"30,150",Dietmar-Hopp-Stadion,Guido Winkmann,Bundesliga,1,Alexander Nouri,Werder Bremen,3-1-4-2,Jiří Pavlenka,cz CZE,25-127,90,3,1,2,66.7,0.9,5,11,45.5,19,5,36.8,35.8,13,30.8,37.5,17,2,11.8,0,7.8
1,Sat,2017-08-19,15:30 ,Hamburger SV,0.5,1–0,0.8,Augsburg,"49,449",Volksparkstadion,Daniel Siebert,Bundesliga,1,Markus Gisdol,Hamburger SV,4-2-3-1,Christian Mathenia,de GER,25-141,90,1,0,1,100.0,0.1,15,28,53.6,27,3,77.8,55.0,9,77.8,54.7,27,2,7.4,0,10.0
1,Sat,2017-08-19,15:30 ,Hamburger SV,0.5,1–0,0.8,Augsburg,"49,449",Volksparkstadion,Daniel Siebert,Bundesliga,1,Manuel Baum,Augsburg,4-2-3-1,Marwin Hitz,ch SUI,29-335,90,5,1,4,80.0,1.3,7,16,43.8,37,9,37.8,32.3,3,66.7,49.0,11,2,18.2,3,18.1
