dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2023-09-30,15:30 ,Heidenheim,0.8,1–0,2.2,Union Berlin,"15,000",Voith-Arena,Sascha Stegemann,Bundesliga,6,Frank Schmidt,Heidenheim,4-2-3-1,Kevin Müller,de GER,32-199,90,8,0,8,100.0,1.6,10,22,45.5,37,7,35.1,39.3,14,64.3,47.7,27,3,11.1,1,13.0
Sat,2023-09-30,15:30 ,Heidenheim,0.8,1–0,2.2,Union Berlin,"15,000",Voith-Arena,Sascha Stegemann,Bundesliga,6,Urs Fischer,Union Berlin,3-4-3,Frederik Rønnow,dk DEN,31-057,90,4,1,3,75.0,0.8,3,12,25.0,39,8,25.6,35.6,4,50.0,47.0,13,2,15.4,1,14.2
Sat,2023-09-30,15:30 ,Wolfsburg,3.2,2–0,1.3,Eint Frankfurt,"28,323",Volkswagen Arena,Frank Willenborg,Bundesliga,6,Niko Kovač,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,31-097,90,4,0,4,100.0,1.6,6,11,54.5,43,4,20.9,31.2,3,66.7,52.0,7,0,0.0,1,11.7
Sat,2023-09-30,15:30 ,Wolfsburg,3.2,2–0,1.3,Eint Frankfurt,"28,323",Volkswagen Arena,Frank Willenborg,Bundesliga,6,Dino Toppmöller,Eint Frankfurt,3-4-3,Kevin Trapp,de GER,33-084,90,8,2,5,75.0,2.9,5,18,27.8,32,2,40.6,35.2,8,62.5,48.9,19,0,0.0,2,28.3
Sat,2023-09-30,15:30 ,Bochum,1.7,1–3,2.9,M'Gladbach,"26,000",Vonovia Ruhrstadion,Felix Brych,Bundesliga,6,Thomas Letsch,Bochum,3-5-2,Manuel Riemann,de GER,35-021,90,8,3,5,62.5,2.9,18,41,43.9,51,3,68.6,45.0,8,75.0,50.1,17,0,0.0,4,34.5
Sat,2023-09-30,15:30 ,Bochum,1.7,1–3,2.9,M'Gladbach,"26,000",Vonovia Ruhrstadion,Felix Brych,Bundesliga,6,Gerardo Seoane,M'Gladbach,3-5-2,Moritz Nicolas,de GER,25-344,90,4,1,3,75.0,1.0,6,28,21.4,22,2,63.6,45.6,19,73.7,56.6,30,0,0.0,0,14.0
Sat,2023-09-30,15:30 ,Mainz 05,0.5,0–3,1.1,Leverkusen,"33,305",Mewa Arena,Benjamin Brand,Bundesliga,6,Bo Svensson,Mainz 05,3-4-3,Robin Zentner,de GER,28-337,90,3,3,1,0.0,2.2,3,8,37.5,27,4,25.9,31.8,6,16.7,25.7,4,2,50.0,0,10.8
Sat,2023-09-30,15:30 ,Mainz 05,0.5,0–3,1.1,Leverkusen,"33,305",Mewa Arena,Benjamin Brand,Bundesliga,6,Xabi Alonso,Leverkusen,3-4-3,Lukáš Hrádecký,fi FIN,33-310,90,3,0,3,100.0,0.5,2,6,33.3,24,6,16.7,28.2,2,100.0,50.5,13,2,15.4,1,14.3
Sat,2023-09-30,18:30 ,RB Leipzig,0.7,2–2,2.3,Bayern Munich,"47,069",Red Bull Arena,Marco Fritz,Bundesliga,6,Marco Rose,RB Leipzig,4-2-2-2,Janis Blaswich,de GER,32-151,90,5,2,3,80.0,2.3,6,15,40.0,47,4,27.7,31.1,6,33.3,31.8,5,0,0.0,0,8.7
Sat,2023-09-30,18:30 ,RB Leipzig,0.7,2–2,2.3,Bayern Munich,"47,069",Red Bull Arena,Marco Fritz,Bundesliga,6,Thomas Tuchel,Bayern Munich,4-2-3-1,Sven Ulreich,de GER,35-058,90,2,2,0,0.0,0.9,1,4,25.0,29,5,13.8,23.6,4,0.0,16.3,11,0,0.0,4,22.3
Sun,2023-10-01,15:30 ,Darmstadt 98,2.4,4–2,1.5,Werder Bremen,"17,810",Merck-Stadion am Böllenfalltor,Martin Petersen,Bundesliga,6,Torsten Lieberknecht,Darmstadt 98,3-5-2,Marcel Schuhen,de GER,30-261,90,6,2,4,66.7,1.9,7,22,31.8,39,4,53.8,42.6,2,50.0,48.0,13,0,0.0,2,15.7
Sun,2023-10-01,15:30 ,Darmstadt 98,2.4,4–2,1.5,Werder Bremen,"17,810",Merck-Stadion am Böllenfalltor,Martin Petersen,Bundesliga,6,Ole Werner,Werder Bremen,3-5-2,Jiří Pavlenka,cz CZE,31-170,90,5,4,1,40.0,2.6,3,7,42.9,24,5,25.0,27.1,7,14.3,24.6,9,0,0.0,5,24.2
Sun,2023-10-01,17:30 ,Freiburg,1.0,2–0,0.8,Augsburg,"33,134",Europa-Park Stadion,Harm Osmers,Bundesliga,6,Christian Streich,Freiburg,3-4-3,Noah Atubolu,de GER,21-129,90,3,0,3,100.0,0.5,6,25,24.0,45,4,37.8,34.6,8,100.0,65.3,11,0,0.0,0,8.8
Sun,2023-10-01,17:30 ,Freiburg,1.0,2–0,0.8,Augsburg,"33,134",Europa-Park Stadion,Harm Osmers,Bundesliga,6,Enrico Maaßen,Augsburg,3-4-3,Finn Dahmen,de GER,25-188,90,3,2,1,66.7,1.2,4,9,44.4,49,3,18.4,25.0,1,0.0,11.0,9,2,22.2,1,12.5
Fri,2023-10-06,20:30 ,M'Gladbach,2.3,2–2,0.8,Mainz 05,"51,529",Stadion im Borussia-Park,Sven Jablonski,Bundesliga,7,Gerardo Seoane,M'Gladbach,3-5-2,Moritz Nicolas,de GER,25-350,90,7,2,5,71.4,1.8,3,10,30.0,38,10,23.7,27.5,2,50.0,42.5,7,0,0.0,2,36.0
Fri,2023-10-06,20:30 ,M'Gladbach,2.3,2–2,0.8,Mainz 05,"51,529",Stadion im Borussia-Park,Sven Jablonski,Bundesliga,7,Bo Svensson,Mainz 05,3-4-3,Robin Zentner,de GER,28-343,90,9,2,7,77.8,3.1,4,16,25.0,34,8,44.1,39.5,3,33.3,38.0,26,4,15.4,3,15.1
