gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
31,Mon,2023-04-24,20:45 ,Atalanta,0.9,3–1,1.0,Roma,"19,445",Gewiss Stadium,Massimiliano Irrati,Serie-A,31,José Mourinho,Roma,3-4-3,Rui Patrício,pt POR,35-068,90,4,3,1,25.0,0.7,2,8,25.0,13,0,53.8,38.7,6,16.7,26.5,8,0,0.0,0,12.0
32,Fri,2023-04-28,18:30 ,Lecce,2.0,1–0,0.7,Udinese,"23,069",Stadio Comunale Via Del Mare,Matteo Marchetti,Serie-A,32,Marco Baroni,Lecce,4-3-3,Wladimiro Falcone,it ITA,28-016,90,3,0,3,100.0,0.5,4,12,33.3,19,5,47.4,38.0,3,100.0,66.0,11,0,0.0,1,21.3
32,Fri,2023-04-28,18:30 ,Lecce,2.0,1–0,0.7,Udinese,"23,069",Stadio Comunale Via Del Mare,Matteo Marchetti,Serie-A,32,Andrea Sottil,Udinese,3-5-1-1,Marco Silvestri,it ITA,32-057,90,3,1,2,100.0,1.1,4,14,28.6,50,5,28.0,30.4,9,0.0,18.7,17,1,5.9,2,16.0
32,Fri,2023-04-28,20:45 ,Spezia,1.7,0–2,0.9,Monza,"9,200",Stadio Alberto Picco,Antonio Rapuano,Serie-A,32,Leonardo Semplici,Spezia,4-3-3,Bartłomiej Drągowski,pl POL,25-252,90,4,2,2,50.0,0.8,3,8,37.5,29,6,24.1,29.4,3,33.3,35.3,7,2,28.6,2,16.8
32,Fri,2023-04-28,20:45 ,Spezia,1.7,0–2,0.9,Monza,"9,200",Stadio Alberto Picco,Antonio Rapuano,Serie-A,32,Raffaele Palladino,Monza,3-4-3,Michele Di Gregorio,it ITA,25-275,90,4,0,4,100.0,1.0,7,16,43.8,39,6,30.8,32.2,7,57.1,49.3,20,0,0.0,3,24.2
32,Sat,2023-04-29,18:00 ,Roma,1.0,1–1,1.0,Milan,"64,191",Stadio Olimpico,Daniele Orsato,Serie-A,32,José Mourinho,Roma,3-4-1-2,Rui Patrício,pt POR,35-073,90,1,1,0,0.0,0.3,3,10,30.0,10,6,10.0,29.9,9,100.0,67.2,20,3,15.0,0,5.5
32,Sat,2023-04-29,18:00 ,Roma,1.0,1–1,1.0,Milan,"64,191",Stadio Olimpico,Daniele Orsato,Serie-A,32,Stefano Pioli,Milan,4-2-3-1,Mike Maignan,fr FRA,27-300,90,1,1,0,0.0,0.5,3,8,37.5,49,8,14.3,28.8,2,50.0,42.5,8,1,12.5,1,12.8
32,Sat,2023-04-29,20:45 ,Torino,0.3,1–2,0.5,Atalanta,"20,196",Stadio Olimpico di Torino,Juan Sacchi,Serie-A,32,Ivan Jurić,Torino,3-4-3,Vanja Milinković-Savić,rs SRB,26-068,90,5,2,3,60.0,1.3,9,26,34.6,56,10,30.4,33.7,10,90.0,70.3,8,0,0.0,3,23.6
32,Sat,2023-04-29,20:45 ,Torino,0.3,1–2,0.5,Atalanta,"20,196",Stadio Olimpico di Torino,Juan Sacchi,Serie-A,32,Gian Piero Gasperini,Atalanta,3-4-3,Marco Sportiello,it ITA,30-354,90,4,1,3,75.0,0.7,4,9,44.4,19,4,31.6,32.4,5,60.0,44.2,15,1,6.7,1,10.0
32,Sun,2023-04-30,12:30 ,Inter,3.1,3–1,0.8,Lazio,"75,500",Stadio Giuseppe Meazza,Marco Guida,Serie-A,32,Simone Inzaghi,Inter,3-5-2,André Onana,cm CMR,27-028,90,5,1,4,80.0,1.3,3,10,30.0,41,0,22.0,25.0,2,50.0,44.0,7,0,0.0,0,
32,Sun,2023-04-30,12:30 ,Inter,3.1,3–1,0.8,Lazio,"75,500",Stadio Giuseppe Meazza,Marco Guida,Serie-A,32,Maurizio Sarri,Lazio,4-3-3,Ivan Provedel,it ITA,29-044,90,9,3,6,66.7,2.8,9,19,47.4,37,8,45.9,40.8,5,40.0,34.4,20,1,5.0,0,8.4
