dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2017-08-18,20:15 ,Leganés,1.3,1–0,1.1,Alavés,"9,231",Estadio Municipal de Butarque,José Munuera,La-Liga,1,Asier Garitano,Leganés,4-2-3-1,Iván Cuéllar,es ESP,33-083,90,5,0,4,100.0,1.6,9,26,34.6,26,5,80.8,49.7,5,100.0,67.8,8,0,0.0,0,
Fri,2017-08-18,20:15 ,Leganés,1.3,1–0,1.1,Alavés,"9,231",Estadio Municipal de Butarque,José Munuera,La-Liga,1,Luis Zubeldía,Alavés,4-4-2,Fernando Pacheco,es ESP,25-092,90,3,1,2,66.7,1.0,5,21,23.8,30,4,46.7,33.0,7,100.0,57.3,11,1,9.1,2,14.3
Fri,2017-08-18,22:15 ,Valencia,1.4,1–0,0.2,Las Palmas,"35,971",Estadio de Mestalla,Jesús Gil,La-Liga,1,Marcelino,Valencia,4-4-2,Neto,br BRA,28-030,90,4,0,4,100.0,0.7,3,11,27.3,14,6,64.3,44.6,2,100.0,74.0,6,0,0.0,0,5.0
Fri,2017-08-18,22:15 ,Valencia,1.4,1–0,0.2,Las Palmas,"35,971",Estadio de Mestalla,Jesús Gil,La-Liga,1,Manuel Márquez,Las Palmas,4-1-4-1,Leandro Chichizola,ar ARG,27-144,90,6,1,5,83.3,0.8,9,23,39.1,36,9,36.1,31.6,10,100.0,65.0,12,1,8.3,0,7.5
Sat,2017-08-19,18:15 ,Celta Vigo,1.8,2–3,2.1,Real Sociedad,"16,961",Estadio de Balaídos,Antonio Matéu Lahoz,La-Liga,1,Unzué,Celta Vigo,4-3-3,Sergio Álvarez,es ESP,31-016,90,6,3,3,66.7,2.4,7,15,46.7,32,0,37.5,34.7,6,50.0,36.3,14,0,0.0,0,13.0
Sat,2017-08-19,18:15 ,Celta Vigo,1.8,2–3,2.1,Real Sociedad,"16,961",Estadio de Balaídos,Antonio Matéu Lahoz,La-Liga,1,Sacristán,Real Sociedad,4-3-3,Gerónimo Rulli,ar ARG,25-091,90,5,2,3,60.0,1.7,7,21,33.3,41,4,39.0,35.2,6,83.3,50.5,12,2,16.7,0,12.2
Sat,2017-08-19,20:15 ,Girona,2.2,2–2,0.7,Atlético Madrid,"11,511",Estadi Municipal de Montilivi,Juan Martínez,La-Liga,1,Pablo Machín,Girona,3-4-3,Gorka Iraizoz,es ESP,36-166,90,3,2,1,33.3,0.6,6,14,42.9,16,4,50.0,43.9,6,100.0,61.8,7,2,28.6,0,5.2
Sat,2017-08-19,20:15 ,Girona,2.2,2–2,0.7,Atlético Madrid,"11,511",Estadi Municipal de Montilivi,Juan Martínez,La-Liga,1,Diego Simeone,Atlético Madrid,4-4-2,Jan Oblak,si SVN,24-224,90,6,2,4,66.7,3.2,1,13,7.7,21,1,47.6,41.1,10,30.0,37.4,22,1,4.5,1,9.0
Sat,2017-08-19,22:15 ,Sevilla,2.4,1–1,1.3,Espanyol,"30,487",Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,La-Liga,1,Eduardo Berizzo,Sevilla,4-1-4-1,David Soria,es ESP,24-137,4,2,,2,,0.8,,,,,1,,,,,,,,,,
Sat,2017-08-19,22:15 ,Sevilla,2.4,1–1,1.3,Espanyol,"30,487",Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,La-Liga,1,Eduardo Berizzo,Sevilla,4-1-4-1,Sergio Rico,es ESP,23-352,86,4,1,3,75.0,0.8,3,13,23.1,21,4,42.9,34.8,6,66.7,47.7,10,0,0.0,0,3.0
Sat,2017-08-19,22:15 ,Sevilla,2.4,1–1,1.3,Espanyol,"30,487",Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,La-Liga,1,Quique Flores,Espanyol,4-4-2,Pau López,es ESP,22-249,90,4,1,3,75.0,2.0,3,20,15.0,19,2,73.7,46.8,6,100.0,61.3,16,2,12.5,0,6.5
Sun,2017-08-20,18:15 ,Athletic Club,1.2,0–0,0.5,Getafe,"37,884",San Mamés,Mario Melero,La-Liga,1,Cuco Ziganda,Athletic Club,4-2-3-1,Kepa Arrizabalaga,es ESP,22-321,90,2,0,2,100.0,0.2,4,10,40.0,18,4,38.9,34.6,4,75.0,56.3,14,1,7.1,1,15.5
Sun,2017-08-20,18:15 ,Athletic Club,1.2,0–0,0.5,Getafe,"37,884",San Mamés,Mario Melero,La-Liga,1,Pepe Bordalás,Getafe,4-4-2,Vicente Guaita,es ESP,30-222,90,2,0,2,100.0,0.4,11,30,36.7,21,1,81.0,49.2,13,100.0,61.6,21,1,4.8,0,6.7
Sun,2017-08-20,20:15 ,Barcelona,1.1,2–0,0.1,Betis,"56,480",Camp Nou,Daniel Trujillo,La-Liga,1,Ernesto Valverde,Barcelona,4-4-1-1,Marc-André ter Stegen,de GER,25-112,90,0,0,0,,0.0,2,6,33.3,18,0,11.1,23.9,6,66.7,51.8,0,0,,1,25.0
Sun,2017-08-20,20:15 ,Barcelona,1.1,2–0,0.1,Betis,"56,480",Camp Nou,Daniel Trujillo,La-Liga,1,Quique Setién,Betis,4-1-4-1,Antonio Adán,es ESP,30-099,90,2,2,1,0.0,0.7,10,14,71.4,33,3,24.2,29.8,10,60.0,41.1,8,0,0.0,0,12.8
