gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Renato Steffen,2–1,16.67,40.0,8,SUI,LW,29.088,89,0,1,0,0,3,1,0,0,45,0,1,0,0.5,0.5,0.5,2,1,29,40,72.5,3,29,1,0,0,458,116,18,20,90.0,7,10,70.0,4,6,66.7,0.4,2,4,2,2,39,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,,0,0,0,1,0,0,0,3,22,20,4,45,,0,,113,57,2,0,1,2,37,12,0,2,2,0,0,0,0,2,2,2,50.0
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,   Omar Marmoush,2–1,9999.0,9999.0,29,EGY,FW,,1,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Josip Brekalo,2–1,16.67,40.0,7,CRO,RW,22.452,90,0,0,0,0,1,1,0,0,58,0,1,0,0.0,0.0,0.5,6,1,32,46,69.6,2,39,2,2,1,524,89,20,23,87.0,7,11,63.6,5,8,62.5,0.3,2,2,0,0,39,7,0,0,0,5,1,5,4,0,0,0,2,0,0,0,0,0,0,,0,0,0,1,0,0,0,5,22,31,3,58,50.0,1,50.0,204,85,3,1,5,1,37,3,0,0,3,0,0,0,0,6,0,1,0.0
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Maximilian Philipp,2–1,50.0,35.0,17,GER,AM,26.764,67,0,0,0,0,1,1,0,0,24,1,0,1,0.1,0.1,0.0,2,0,13,19,68.4,1,12,1,0,0,133,11,10,14,71.4,3,3,100.0,0,1,0.0,0.0,0,0,0,0,18,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,33.3,2,0,1,1,0,0,0,2,10,12,2,24,,0,,29,10,0,0,2,0,17,4,0,1,0,1,0,0,0,1,1,2,33.3
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,   Daniel Ginczek,2–1,9999.0,9999.0,33,GER,AM,29.647,23,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,6,11,54.5,1,7,1,0,0,77,7,5,9,55.6,1,1,100.0,0,0,,0.1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,9,3,13,,0,,35,8,0,1,0,1,11,2,0,0,0,0,0,0,0,0,2,0,100.0
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Maximilian Arnold,2–1,66.67,25.0,27,GER,DM,26.526,90,1,0,0,0,1,1,0,0,68,2,1,2,0.1,0.1,0.0,5,1,47,57,82.5,9,46,0,0,0,968,403,16,18,88.9,23,25,92.0,7,11,63.6,0.3,0,9,2,0,49,8,5,0,0,3,0,3,3,0,0,0,2,1,1,1,0,1,1,100.0,0,0,2,3,3,0,3,11,47,10,0,68,,0,,159,51,0,0,1,4,47,1,0,1,4,0,0,0,0,5,2,2,50.0
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Xaver Schlager,2–1,33.33,25.0,24,AUT,DM,23.186,90,0,0,0,0,4,0,0,0,62,1,1,1,0.2,0.2,0.0,2,0,37,47,78.7,10,39,1,1,1,493,143,24,27,88.9,11,14,78.6,0,2,0.0,0.1,0,4,1,0,47,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0.0,1,0,1,2,4,0,3,9,41,13,1,62,100.0,0,0.0,199,113,3,0,2,1,36,2,0,0,0,0,0,0,0,7,0,4,0.0
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Jérôme Roussillon,2–1,83.33,15.0,15,FRA,LB,27.915,75,0,0,0,0,1,0,0,0,61,2,0,1,0.0,0.0,0.0,1,0,43,53,81.1,3,40,3,2,2,720,280,18,20,90.0,20,22,90.9,5,9,55.6,0.1,1,2,1,1,50,3,0,0,0,3,3,0,0,0,0,0,1,2,1,1,0,0,1,0.0,1,0,1,2,5,0,4,16,32,13,2,61,100.0,0,0.0,174,101,1,1,0,0,39,5,0,1,0,0,0,0,0,7,0,1,0.0
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,   Paulo Otávio,2–1,9999.0,9999.0,6,BRA,LB,26.033,15,0,0,0,0,0,0,1,0,16,2,1,0,0.0,0.0,0.0,1,0,5,11,45.5,2,8,2,0,0,86,55,2,2,100.0,1,5,20.0,1,2,50.0,0.1,0,2,1,0,10,1,0,0,0,2,1,0,0,0,0,0,1,2,1,0,1,0,0,,0,0,0,3,2,0,0,6,5,5,0,16,,0,,58,41,0,0,0,0,9,1,0,1,1,0,0,0,0,1,0,0,
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,John Brooks,2–1,66.67,15.0,25,USA,CB,27.855,90,0,0,0,0,0,0,0,0,99,0,1,1,0.0,0.0,0.0,1,0,84,90,93.3,3,73,0,1,0,1880,593,14,16,87.5,56,58,96.6,14,14,100.0,0.0,0,1,0,0,84,6,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,1,1,1,0,1,25,72,3,1,99,0.0,1,100.0,292,179,0,0,3,0,68,1,0,1,0,0,0,0,0,5,1,1,50.0
