gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
21,Sat,2021-02-13,15:30 ,Leverkusen,1.4,2–2,2.6,Mainz 05,,BayArena,Guido Winkmann,Bundesliga,21,Bo Svensson,Mainz 05,3-4-1-2,Robin Zentner,de GER,26-108,90,4,2,2,50.0,0.8,3,13,23.1,20,6,30.0,33.2,9,77.8,58.4,6,0,0.0,0,16.0
21,Sat,2021-02-13,18:30 ,Union Berlin,2.0,0–0,0.3,Schalke 04,,Stadion An der Alten Försterei,Daniel Schlager,Bundesliga,21,Urs Fischer,Union Berlin,3-5-2,Loris Karius,de GER,27-236,90,0,0,0,,0.0,2,17,11.8,19,4,68.4,42.8,4,100.0,63.3,12,1,8.3,0,4.0
21,Sat,2021-02-13,18:30 ,Union Berlin,2.0,0–0,0.3,Schalke 04,,Stadion An der Alten Försterei,Daniel Schlager,Bundesliga,21,Christian Gross,Schalke 04,4-2-3-1,Ralf Fährmann,de GER,32-139,90,3,0,3,100.0,0.8,1,12,8.3,27,6,7.4,24.4,11,90.9,55.7,16,0,0.0,1,28.0
21,Sun,2021-02-14,15:30 ,Eint Frankfurt,2.5,2–0,0.3,Köln,,Deutsche Bank Park,Frank Willenborg,Bundesliga,21,Adi Hütter,Eint Frankfurt,3-4-3,Kevin Trapp,de GER,30-221,90,1,0,1,100.0,0.1,2,12,16.7,32,3,31.3,32.7,6,33.3,28.3,5,0,0.0,2,19.8
21,Sun,2021-02-14,15:30 ,Eint Frankfurt,2.5,2–0,0.3,Köln,,Deutsche Bank Park,Frank Willenborg,Bundesliga,21,Markus Gisdol,Köln,3-1-4-2,Timo Horn,de GER,27-278,90,7,2,5,71.4,2.2,8,13,61.5,40,7,30.0,32.7,6,16.7,24.7,18,1,5.6,1,14.7
21,Sun,2021-02-14,18:00 ,Wolfsburg,0.9,0–0,0.6,M'Gladbach,,Volkswagen Arena,Tobias Stieler,Bundesliga,21,Oliver Glasner,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,28-234,90,3,0,3,100.0,0.5,9,15,60.0,46,5,28.3,30.8,7,28.6,30.7,10,1,10.0,3,22.4
21,Sun,2021-02-14,18:00 ,Wolfsburg,0.9,0–0,0.6,M'Gladbach,,Volkswagen Arena,Tobias Stieler,Bundesliga,21,Marco Rose,M'Gladbach,4-2-3-1,Yann Sommer,ch SUI,32-059,90,6,0,6,100.0,0.8,4,12,33.3,45,3,22.2,27.6,8,25.0,30.6,24,0,0.0,2,19.0
21,Mon,2021-02-15,20:30 ,Bayern Munich,2.5,3–3,1.4,Arminia,,Allianz Arena,Florian Badstübner,Bundesliga,21,Hansi Flick,Bayern Munich,4-2-3-1,Manuel Neuer,de GER,34-325,90,3,3,0,0.0,1.9,2,4,50.0,30,3,13.3,23.8,3,0.0,17.7,5,0,0.0,4,29.3
21,Mon,2021-02-15,20:30 ,Bayern Munich,2.5,3–3,1.4,Arminia,,Allianz Arena,Florian Badstübner,Bundesliga,21,Uwe Neuhaus,Arminia,4-2-3-1,Stefan Ortega,de GER,28-101,90,11,3,8,72.7,3.0,8,23,34.8,52,10,36.5,39.4,5,80.0,58.2,23,2,8.7,1,9.3
22,Fri,2021-02-19,20:30 ,Arminia,0.6,0–3,1.5,Wolfsburg,,SchücoArena,Felix Brych,Bundesliga,22,Uwe Neuhaus,Arminia,4-4-1-1,Stefan Ortega,de GER,28-105,90,6,3,3,50.0,1.9,9,18,50.0,64,4,28.1,30.4,3,0.0,23.0,15,0,0.0,2,17.4
