gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Alexander Schwolow,de GER,28-185,90,1,1,0,0.0,0.7,3,7,42.9,22,4,18.2,29.3,4,75.0,55.8,8,0,0.0,1,28.0
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Urs Fischer,Union Berlin,3-4-1-2,Andreas Luthe,de GER,33-269,90,7,3,4,57.1,1.4,8,14,57.1,18,3,50.0,41.9,6,83.3,55.5,18,0,0.0,0,3.0
10,Sat,2020-12-05,15:30 ,Eint Frankfurt,1.0,1–1,1.1,Dortmund,,Deutsche Bank Park,Guido Winkmann,Bundesliga,10,Adi Hütter,Eint Frankfurt,3-4-3,Kevin Trapp,de GER,30-150,90,5,1,4,80.0,1.0,7,29,24.1,30,3,83.3,44.8,9,44.4,40.0,9,1,11.1,0,6.5
10,Sat,2020-12-05,15:30 ,Eint Frankfurt,1.0,1–1,1.1,Dortmund,,Deutsche Bank Park,Guido Winkmann,Bundesliga,10,Lucien Favre,Dortmund,3-4-3,Roman Bürki,ch SUI,30-021,90,1,1,0,0.0,0.7,3,12,25.0,33,5,27.3,28.0,7,42.9,36.1,12,0,0.0,1,12.8
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Markus Gisdol,Köln,3-1-4-2,Timo Horn,de GER,27-207,90,6,2,4,66.7,1.8,14,26,53.8,24,1,79.2,49.7,9,77.8,55.4,17,1,5.9,0,7.5
10,Sat,2020-12-05,15:30 ,Köln,1.1,2–2,1.9,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Bundesliga,10,Oliver Glasner,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,28-163,90,3,2,1,33.3,2.1,3,8,37.5,28,5,17.9,25.4,4,75.0,59.0,11,1,9.1,1,12.2
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Uwe Neuhaus,Arminia,4-4-2,Stefan Ortega,de GER,28-029,90,5,1,4,80.0,1.7,15,25,60.0,35,2,45.7,37.4,9,100.0,62.1,14,1,7.1,0,10.0
10,Sat,2020-12-05,15:30 ,Arminia,1.2,2–1,2.8,Mainz 05,,SchücoArena,Marco Fritz,Bundesliga,10,Jan-Moritz Lichte,Mainz 05,3-4-3,Robin Zentner,de GER,26-038,90,5,2,3,60.0,1.0,3,13,23.1,28,12,28.6,30.1,8,62.5,51.3,15,0,0.0,3,25.0
