dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2018-08-17,20:15 ,Girona,0.7,0–0,0.0,Valladolid,"10,368",Estadi Municipal de Montilivi,Guillermo Cuadra,La-Liga,1,Sacristán,Girona,4-3-3,Yassine Bounou,ma MAR,27-134,90,1,0,1,100.0,0.2,3,5,60.0,14,4,21.4,30.2,5,40.0,37.4,11,1,9.1,0,8.8
Fri,2018-08-17,20:15 ,Girona,0.7,0–0,0.0,Valladolid,"10,368",Estadi Municipal de Montilivi,Guillermo Cuadra,La-Liga,1,Sergio,Valladolid,4-2-3-1,Jordi Masip,es ESP,29-226,90,1,0,1,100.0,0.0,7,35,20.0,29,3,79.3,50.0,12,100.0,64.3,20,1,5.0,0,8.0
Fri,2018-08-17,22:15 ,Betis,0.9,0–3,2.5,Levante,"46,225",Estadio Benito Villamarín,Ignacio Iglesias,La-Liga,1,Quique Setién,Betis,3-1-4-2,Pau López,es ESP,23-247,90,4,3,1,25.0,3.1,2,4,50.0,20,2,20.0,25.8,2,0.0,23.0,6,0,0.0,2,25.0
Fri,2018-08-17,22:15 ,Betis,0.9,0–3,2.5,Levante,"46,225",Estadio Benito Villamarín,Ignacio Iglesias,La-Liga,1,Paco López,Levante,4-4-2,Oier Olazábal,es ESP,28-337,90,8,0,8,100.0,0.9,4,24,16.7,18,2,77.8,51.1,13,76.9,50.6,20,0,0.0,0,5.0
Sat,2018-08-18,18:15 ,Celta Vigo,0.6,1–1,0.6,Espanyol,"16,215",Estadio de Balaídos,Santiago Jaime,La-Liga,1,Antonio Mohamed,Celta Vigo,4-2-3-1,Sergio Álvarez,es ESP,32-015,90,5,1,4,80.0,1.1,8,21,38.1,20,1,70.0,48.4,9,77.8,59.8,15,0,0.0,0,10.0
Sat,2018-08-18,18:15 ,Celta Vigo,0.6,1–1,0.6,Espanyol,"16,215",Estadio de Balaídos,Santiago Jaime,La-Liga,1,Rubí,Espanyol,4-3-3,Diego López,es ESP,36-288,90,2,1,2,50.0,0.4,4,12,33.3,15,4,46.7,39.2,8,62.5,46.1,22,2,9.1,0,8.5
Sat,2018-08-18,20:15 ,Villarreal,1.6,1–2,0.7,Real Sociedad,"16,250",Estadio de la Cerámica,Mario Melero,La-Liga,1,Javier Calleja,Villarreal,4-4-2,Sergio Asenjo,es ESP,29-051,90,4,2,2,50.0,0.6,5,13,38.5,20,2,50.0,38.4,4,75.0,48.0,9,0,0.0,1,21.0
Sat,2018-08-18,20:15 ,Villarreal,1.6,1–2,0.7,Real Sociedad,"16,250",Estadio de la Cerámica,Mario Melero,La-Liga,1,Asier Garitano,Real Sociedad,4-4-1-1,Gerónimo Rulli,ar ARG,26-090,90,7,1,6,85.7,1.0,10,30,33.3,38,4,60.5,44.5,7,100.0,64.3,12,2,16.7,0,7.0
Sat,2018-08-18,22:15 ,Barcelona,3.2,3–0,0.3,Alavés,"52,356",Camp Nou,José Sánchez,La-Liga,1,Ernesto Valverde,Barcelona,4-4-2,Marc-André ter Stegen,de GER,26-110,90,0,0,0,,0.0,3,3,100.0,23,4,8.7,23.0,5,20.0,27.4,4,0,0.0,5,31.2
Sat,2018-08-18,22:15 ,Barcelona,3.2,3–0,0.3,Alavés,"52,356",Camp Nou,José Sánchez,La-Liga,1,Abelardo Fernández,Alavés,4-5-1,Fernando Pacheco,es ESP,26-092,90,9,3,6,66.7,2.8,6,20,30.0,17,3,64.7,44.2,10,90.0,59.8,7,0,0.0,0,
Sun,2018-08-19,18:15 ,Eibar,1.3,1–2,1.7,Huesca,"4,234",Estadio Municipal de Ipurúa,Eduardo Prieto ,La-Liga,1,Mendilibar,Eibar,4-4-2,Marko Dmitrović,rs SRB,26-207,90,6,2,4,66.7,1.9,7,11,63.6,20,3,45.0,33.3,3,66.7,60.3,4,0,0.0,1,11.3
Sun,2018-08-19,18:15 ,Eibar,1.3,1–2,1.7,Huesca,"4,234",Estadio Municipal de Ipurúa,Eduardo Prieto ,La-Liga,1,Leo Franco,Huesca,4-4-2,Axel Werner,ar ARG,22-172,90,6,1,5,83.3,0.8,12,38,31.6,28,1,89.3,52.0,13,100.0,61.5,34,0,0.0,0,7.0
Sun,2018-08-19,20:15 ,Rayo Vallecano,2.1,1–4,2.8,Sevilla,"11,626",Estadio del Rayo Vallecano,Antonio Matéu Lahoz,La-Liga,1,Michel,Rayo Vallecano,4-1-4-1,Alberto García,es ESP,33-191,90,7,4,3,42.9,3.2,5,14,35.7,20,8,40.0,36.8,11,54.5,44.7,16,1,6.3,0,6.0
Sun,2018-08-19,20:15 ,Rayo Vallecano,2.1,1–4,2.8,Sevilla,"11,626",Estadio del Rayo Vallecano,Antonio Matéu Lahoz,La-Liga,1,Pablo Machín,Sevilla,3-4-3,Tomáš Vaclík,cz CZE,29-143,90,2,1,1,100.0,1.7,7,28,25.0,31,3,67.7,48.2,10,70.0,60.4,13,2,15.4,1,9.0
Sun,2018-08-19,22:15 ,Real Madrid,1.0,2–0,0.2,Getafe,"48,446",Estadio Santiago Bernabéu,Daniel Ask,La-Liga,1,Lopetegui,Real Madrid,4-3-3,Keylor Navas,cr CRC,31-247,90,1,0,1,100.0,0.0,5,9,55.6,38,8,18.4,30.4,6,33.3,38.5,3,0,0.0,1,13.8
Sun,2018-08-19,22:15 ,Real Madrid,1.0,2–0,0.2,Getafe,"48,446",Estadio Santiago Bernabéu,Daniel Ask,La-Liga,1,Pepe Bordalás,Getafe,4-1-4-1,David Soria,es ESP,25-137,90,3,2,1,33.3,1.2,9,28,32.1,22,2,90.9,54.0,8,100.0,65.0,14,0,0.0,0,9.3
