dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Stefano Turati,it ITA,21-348,90,8,3,5,62.5,2.1,2,8,25.0,35,11,14.3,22.7,6,50.0,37.7,11,1,9.1,0,4.0
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Rudi Garcia,Napoli,4-3-3,Alex Meret,it ITA,26-150,90,1,1,0,100.0,1.0,2,7,28.6,23,1,30.4,33.0,2,0.0,27.0,3,0,0.0,1,16.3
Sat,2023-08-19,18:30 ,Empoli,0.7,0–1,0.5,Hellas Verona,,Stadio Carlo Castellani,Luca Massimi,Serie-A,1,Paolo Zanetti,Empoli,4-2-3-1,Elia Caprile,it ITA,21-359,90,4,1,3,75.0,0.4,4,20,20.0,37,9,48.6,42.6,4,50.0,50.3,10,2,20.0,2,12.4
Sat,2023-08-19,18:30 ,Empoli,0.7,0–1,0.5,Hellas Verona,,Stadio Carlo Castellani,Luca Massimi,Serie-A,1,Marco Baroni,Hellas Verona,3-4-3,Lorenzo Montipò,it ITA,27-180,90,4,0,4,100.0,0.3,9,23,39.1,33,4,54.5,43.0,8,62.5,54.0,4,0,0.0,4,27.2
Sat,2023-08-19,20:45 ,Inter,2.7,2–0,0.8,Monza,,Stadio Giuseppe Meazza,Andrea Colombo,Serie-A,1,Simone Inzaghi,Inter,3-5-2,Yann Sommer,ch SUI,34-245,90,2,0,2,100.0,0.2,5,7,71.4,26,4,23.1,27.2,8,12.5,28.8,10,1,10.0,0,6.5
Sat,2023-08-19,20:45 ,Inter,2.7,2–0,0.8,Monza,,Stadio Giuseppe Meazza,Andrea Colombo,Serie-A,1,Raffaele Palladino,Monza,3-5-2,Michele Di Gregorio,it ITA,26-023,90,3,2,1,33.3,1.4,2,9,22.2,29,9,24.1,29.5,8,25.0,32.6,16,0,0.0,0,9.3
Sat,2023-08-19,20:45 ,Genoa,0.2,1–4,1.0,Fiorentina,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Serie-A,1,Alberto Gilardino,Genoa,3-5-2,Josep Martinez,es ESP,25-084,90,5,4,1,20.0,1.7,7,13,53.8,29,3,44.8,37.2,0,,,10,2,20.0,0,5.0
Sat,2023-08-19,20:45 ,Genoa,0.2,1–4,1.0,Fiorentina,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Serie-A,1,Vincenzo Italiano,Fiorentina,4-2-3-1,Pietro Terracciano,it ITA,33-164,90,2,1,1,50.0,0.3,3,5,60.0,47,3,10.6,30.0,4,0.0,23.3,11,0,0.0,0,13.3
Sun,2023-08-20,18:30 ,Sassuolo,0.4,0–2,1.3,Atalanta,,Mapei Stadium - Città del Tricolore,Matteo Marchetti,Serie-A,1,Alessio Dionisi,Sassuolo,4-2-3-1,Andrea Consigli,it ITA,36-205,90,4,2,2,50.0,0.7,2,7,28.6,44,5,13.6,31.2,13,7.7,19.2,19,1,5.3,2,21.0
Sun,2023-08-20,18:30 ,Sassuolo,0.4,0–2,1.3,Atalanta,,Mapei Stadium - Città del Tricolore,Matteo Marchetti,Serie-A,1,Gian Piero Gasperini,Atalanta,3-5-2,Juan Musso,ar ARG,29-106,90,3,0,3,100.0,0.7,4,13,30.8,33,8,36.4,30.0,2,50.0,44.5,10,2,20.0,2,19.5
