dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Francesco Gelli,1–2,83.33,30.0,14,ITA,RM,26.844,90,0,0,0,0,0,0,1,0,61,0,0,2,0.0,0.0,0.0,1,1,50,58,86.2,4,34,1,1,0,639,175,38,39,97.4,7,9,77.8,3,5,60.0,0.1,0,2,1,0,51,7,3,0,0,4,0,4,1,2,0,0,2,0,0,0,0,0,0,,0,1,1,0,0,0,3,25,26,11,2,61,0.0,0,0.0,143,79,0,1,1,1,48,4,0,3,2,0,0,0,0,1,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Riccardo Marchizza,1–2,16.67,15.0,3,ITA,LB,25.4,90,0,0,0,0,0,0,0,0,38,1,0,3,0.0,0.0,0.1,1,0,25,29,86.2,0,9,0,1,0,462,145,8,8,100.0,12,16,75.0,4,4,100.0,0.0,1,0,1,1,22,7,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0,0,,0,1,2,1,2,0,6,17,15,6,0,38,0.0,1,100.0,26,17,0,0,1,0,16,1,0,0,0,0,0,0,0,5,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Simone Romagnoli,1–2,33.33,15.0,6,ITA,CB,33.523,90,0,0,0,0,0,0,0,0,51,0,1,2,0.0,0.0,0.0,0,0,40,42,95.2,0,15,0,0,0,638,154,19,20,95.0,19,19,100.0,1,2,50.0,0.0,0,0,0,0,38,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,1,4,0,9,30,21,0,0,51,,0,,61,32,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,1,0.0
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Ilario Monterisi,1–2,66.67,15.0,30,ITA,CB,21.666,90,0,0,0,0,0,0,0,0,104,0,0,2,0.0,0.0,0.0,0,0,85,95,89.5,3,65,0,0,0,1373,781,41,41,100.0,34,36,94.4,7,12,58.3,0.0,0,4,0,0,88,6,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,0,2,0,0,5,0,24,73,30,1,0,104,,0,,214,105,0,0,0,0,80,0,0,0,2,0,0,0,0,5,1,2,33.3
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Anthony Oyono,1–2,16.67,15.0,22,GAB,RB,22.353,90,0,0,0,0,0,0,1,0,56,1,1,3,0.0,0.0,0.0,0,0,36,41,87.8,5,31,2,2,0,556,220,22,25,88.0,10,11,90.9,4,5,80.0,0.0,0,4,0,0,33,8,1,0,0,0,7,0,0,0,0,0,0,1,1,0,0,1,2,50.0,1,1,2,2,5,0,6,24,29,3,1,56,0.0,2,100.0,177,88,0,0,3,0,33,1,0,1,2,0,0,0,0,3,1,0,100.0
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Stefano Turati,1–2,50.0,5.0,80,ITA,GK,21.953,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,31,41,75.6,0,23,0,0,0,520,393,19,19,100.0,8,9,88.9,3,12,25.0,0.0,0,0,0,0,34,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,41,43,0,0,0,43,,0,,144,115,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Rudi Garcia,Napoli,4-3-3,Victor Osimhen,1–2,50.0,45.0,9,NGA,FW,24.638,80,2,0,0,0,5,2,0,0,16,1,0,0,0.8,0.8,0.1,0,0,4,4,100.0,0,9,0,0,0,48,0,2,2,100.0,1,1,100.0,0,0,,0.0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,100.0,0,0,0,1,0,0,0,0,7,9,7,16,,0,,20,5,0,0,4,0,13,2,0,4,1,1,0,0,0,1,2,1,66.7
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Rudi Garcia,Napoli,4-3-3,   Giovanni Simeone,1–2,9999.0,9999.0,18,ARG,FW,28.123,10,0,0,0,0,2,2,0,0,6,0,0,0,0.1,0.1,0.0,1,0,3,4,75.0,2,4,2,0,0,39,25,3,3,100.0,0,0,,0,0,,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,4,3,6,,0,,51,29,0,1,0,0,5,3,0,0,0,0,0,0,0,1,1,0,100.0
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Rudi Garcia,Napoli,4-3-3,Giacomo Raspadori,1–2,83.33,40.0,81,ITA,LW,23.499,90,0,0,0,0,4,2,0,0,43,2,0,1,0.2,0.2,0.1,4,0,24,34,70.6,4,24,4,0,0,475,101,6,9,66.7,11,14,78.6,5,7,71.4,0.0,2,2,0,0,34,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,2,50.0,1,0,1,2,1,0,1,2,18,23,6,43,,0,,209,96,3,1,0,0,34,10,0,1,1,0,0,0,0,1,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Rudi Garcia,Napoli,4-3-3,Matteo Politano,1–2,16.67,40.0,21,ITA,RW,30.044,75,1,0,0,0,2,1,0,0,40,1,0,0,0.2,0.2,0.0,4,1,29,34,85.3,5,24,1,1,1,499,96,14,14,100.0,13,15,86.7,2,4,50.0,0.2,0,5,0,0,32,2,1,0,0,2,0,1,1,0,0,0,1,0,1,0,0,1,2,50.0,1,0,0,1,1,0,0,4,20,18,2,40,100.0,0,0.0,153,84,1,0,1,1,32,5,0,1,0,1,0,0,0,5,0,0,
