gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2022-08-05,20:30 ,Eint Frankfurt,0.9,1–6,4.0,Bayern Munich,"51,500",Deutsche Bank Park,Deniz Aytekin,Bundesliga,1,Oliver Glasner,Eint Frankfurt,3-4-3,Kevin Trapp,de GER,32-028,90,10,6,4,40.0,3.7,5,12,41.7,21,3,47.6,36.5,9,22.2,31.1,10,0,0.0,0,3.0
1,Fri,2022-08-05,20:30 ,Eint Frankfurt,0.9,1–6,4.0,Bayern Munich,"51,500",Deutsche Bank Park,Deniz Aytekin,Bundesliga,1,Julian Nagelsmann,Bayern Munich,4-4-2,Manuel Neuer,de GER,36-131,90,2,1,1,50.0,0.4,3,6,50.0,41,8,14.6,25.4,4,0.0,22.8,10,0,0.0,3,24.7
1,Sat,2022-08-06,15:30 ,Wolfsburg,1.0,2–2,0.8,Werder Bremen,"28,015",Volkswagen Arena,Sascha Stegemann,Bundesliga,1,Niko Kovač,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,30-042,90,4,2,2,50.0,0.7,3,11,27.3,31,10,29.0,29.3,4,50.0,45.5,9,0,0.0,3,19.6
1,Sat,2022-08-06,15:30 ,Wolfsburg,1.0,2–2,0.8,Werder Bremen,"28,015",Volkswagen Arena,Sascha Stegemann,Bundesliga,1,Ole Werner,Werder Bremen,3-5-2,Jiří Pavlenka,cz CZE,30-114,90,3,2,1,33.3,1.4,6,22,27.3,24,3,54.2,44.3,11,81.8,61.8,14,1,7.1,0,7.0
1,Sat,2022-08-06,15:30 ,Augsburg,0.7,0–4,1.3,Freiburg,"25,310",WWK Arena,Bastian Dankert,Bundesliga,1,Enrico Maaßen,Augsburg,3-1-4-2,Rafał Gikiewicz,pl POL,34-284,90,7,4,3,42.9,2.4,11,21,52.4,40,6,37.5,35.0,7,85.7,53.0,14,0,0.0,0,11.0
1,Sat,2022-08-06,15:30 ,Augsburg,0.7,0–4,1.3,Freiburg,"25,310",WWK Arena,Bastian Dankert,Bundesliga,1,Christian Streich,Freiburg,4-2-3-1,Mark Flekken,nl NED,29-054,90,2,0,2,100.0,0.2,11,24,45.8,42,1,52.4,41.5,4,50.0,43.3,7,2,28.6,1,9.5
1,Sat,2022-08-06,15:30 ,Union Berlin,1.0,3–1,0.3,Hertha BSC,"22,012",Stadion An der Alten Försterei,Marco Fritz,Bundesliga,1,Urs Fischer,Union Berlin,3-5-2,Frederik Rønnow,dk DEN,30-002,90,3,1,2,66.7,0.7,8,17,47.1,25,3,52.0,38.4,5,80.0,55.4,16,0,0.0,1,14.0
1,Sat,2022-08-06,15:30 ,Union Berlin,1.0,3–1,0.3,Hertha BSC,"22,012",Stadion An der Alten Försterei,Marco Fritz,Bundesliga,1,Sandro Schwarz,Hertha BSC,4-3-3,Oliver Christensen,dk DEN,23-137,90,8,3,5,62.5,2.6,6,11,54.5,25,9,32.0,30.9,7,42.9,44.0,19,2,10.5,1,8.8
1,Sat,2022-08-06,15:30 ,M'Gladbach,1.9,3–1,0.1,Hoffenheim,"49,659",Stadion im Borussia-Park,Daniel Siebert,Bundesliga,1,Daniel Farke,M'Gladbach,4-2-3-1,Yann Sommer,ch SUI,33-232,90,1,1,0,0.0,0.0,4,9,44.4,31,2,29.0,30.2,2,0.0,17.5,7,0,0.0,2,19.0
1,Sat,2022-08-06,15:30 ,M'Gladbach,1.9,3–1,0.1,Hoffenheim,"49,659",Stadion im Borussia-Park,Daniel Siebert,Bundesliga,1,André Breitenreiter,Hoffenheim,3-5-2,Oliver Baumann,de GER,32-065,90,7,3,4,57.1,3.0,8,21,38.1,48,2,41.7,34.1,4,25.0,24.0,13,1,7.7,0,7.6
1,Sat,2022-08-06,15:30 ,Bochum,0.9,1–2,1.4,Mainz 05,"24,110",Vonovia Ruhrstadion,Felix Zwayer,Bundesliga,1,Thomas Reis,Bochum,4-2-3-1,Manuel Riemann,de GER,33-331,90,6,2,4,66.7,1.8,19,36,52.8,52,3,57.7,40.5,8,75.0,48.8,13,0,0.0,9,33.5
1,Sat,2022-08-06,15:30 ,Bochum,0.9,1–2,1.4,Mainz 05,"24,110",Vonovia Ruhrstadion,Felix Zwayer,Bundesliga,1,Bo Svensson,Mainz 05,5-4-1,Robin Zentner,de GER,27-282,90,3,1,2,66.7,0.7,7,20,35.0,19,8,63.2,46.7,8,100.0,69.3,16,2,12.5,2,10.2
1,Sat,2022-08-06,18:30 ,Dortmund,1.8,1–0,1.3,Leverkusen,"81,365",Signal Iduna Park,Felix Brych,Bundesliga,1,Edin Terzić,Dortmund,4-3-3,Gregor Kobel,ch SUI,24-243,90,3,0,3,100.0,0.9,4,15,26.7,29,5,34.5,34.2,7,71.4,50.9,14,2,14.3,1,10.7
1,Sat,2022-08-06,18:30 ,Dortmund,1.8,1–0,1.3,Leverkusen,"81,365",Signal Iduna Park,Felix Brych,Bundesliga,1,Gerardo Seoane,Leverkusen,4-2-3-1,Lukáš Hrádecký,fi FIN,32-255,89,4,1,3,75.0,1.9,2,11,18.2,37,8,21.6,28.4,10,30.0,39.4,8,1,12.5,2,24.3
1,Sat,2022-08-06,18:30 ,Dortmund,1.8,1–0,1.3,Leverkusen,"81,365",Signal Iduna Park,Felix Brych,Bundesliga,1,Gerardo Seoane,Leverkusen,4-2-3-1,Edmond Tapsoba,bf BFA,23-185,1,0,0,0,,0.0,0,1,0.0,0,0,,,1,100.0,77.0,0,0,,0,
1,Sun,2022-08-07,15:30 ,Stuttgart,0.8,1–1,1.6,RB Leipzig,"46,000",Mercedes-Benz Arena,Tobias Stieler,Bundesliga,1,Pellegrino Matarazzo,Stuttgart,3-5-2,Florian Müller,de GER,24-267,90,9,1,8,88.9,2.3,8,18,44.4,29,3,37.9,31.8,10,70.0,51.4,19,0,0.0,1,19.0
1,Sun,2022-08-07,15:30 ,Stuttgart,0.8,1–1,1.6,RB Leipzig,"46,000",Mercedes-Benz Arena,Tobias Stieler,Bundesliga,1,Domenico Tedesco,RB Leipzig,3-4-1-2,Péter Gulácsi,hu HUN,32-093,90,2,1,1,50.0,0.5,2,5,40.0,31,5,12.9,27.8,7,14.3,25.6,3,0,0.0,0,
1,Sun,2022-08-07,17:30 ,Köln,4.1,3–1,0.2,Schalke 04,"50,000",RheinEnergieSTADION,Robert Schröder,Bundesliga,1,Steffen Baumgart,Köln,4-1-3-2,Marvin Schwäbe,de GER,27-104,90,2,1,1,50.0,0.3,1,3,33.3,40,2,7.5,23.5,3,0.0,21.0,7,0,0.0,2,25.0
1,Sun,2022-08-07,17:30 ,Köln,4.1,3–1,0.2,Schalke 04,"50,000",RheinEnergieSTADION,Robert Schröder,Bundesliga,1,Frank Kramer,Schalke 04,4-1-4-1,Alexander Schwolow,de GER,30-066,90,10,3,7,70.0,3.0,10,25,40.0,18,2,83.3,54.4,11,90.9,64.3,28,2,7.1,0,4.0
2,Fri,2022-08-12,20:30 ,Freiburg,1.0,1–3,1.1,Dortmund,"34,700",Europa-Park Stadion,Tobias Welz,Bundesliga,2,Christian Streich,Freiburg,4-2-3-1,Mark Flekken,nl NED,29-060,90,6,3,3,50.0,1.2,7,20,35.0,32,2,40.6,38.3,10,70.0,57.7,11,1,9.1,5,21.0
2,Fri,2022-08-12,20:30 ,Freiburg,1.0,1–3,1.1,Dortmund,"34,700",Europa-Park Stadion,Tobias Welz,Bundesliga,2,Edin Terzić,Dortmund,4-2-3-1,Gregor Kobel,ch SUI,24-249,90,7,1,6,85.7,1.2,0,6,0.0,43,7,11.6,24.2,6,16.7,24.5,22,0,0.0,4,21.8
2,Sat,2022-08-13,15:30 ,Hoffenheim,2.6,3–2,1.5,Bochum,"17,005",PreZero Arena,Patrick Ittrich,Bundesliga,2,André Breitenreiter,Hoffenheim,3-5-2,Oliver Baumann,de GER,32-072,90,5,2,3,60.0,2.5,1,6,16.7,25,4,20.0,29.3,10,10.0,21.1,11,0,0.0,1,27.0
2,Sat,2022-08-13,15:30 ,Hoffenheim,2.6,3–2,1.5,Bochum,"17,005",PreZero Arena,Patrick Ittrich,Bundesliga,2,Thomas Reis,Bochum,3-4-1-2,Manuel Riemann,de GER,33-338,90,12,3,8,75.0,3.5,23,48,47.9,51,1,82.4,51.6,7,85.7,60.4,16,0,0.0,3,17.2
2,Sat,2022-08-13,15:30 ,Werder Bremen,0.5,2–2,1.4,Stuttgart,"41,000",Wohninvest Weserstadion,Robert Hartmann,Bundesliga,2,Ole Werner,Werder Bremen,3-5-2,Jiří Pavlenka,cz CZE,30-121,90,7,2,5,71.4,2.4,5,17,29.4,34,6,32.4,32.2,9,66.7,49.2,14,0,0.0,1,13.8
2,Sat,2022-08-13,15:30 ,Werder Bremen,0.5,2–2,1.4,Stuttgart,"41,000",Wohninvest Weserstadion,Robert Hartmann,Bundesliga,2,Pellegrino Matarazzo,Stuttgart,3-5-2,Florian Müller,de GER,24-273,90,3,2,1,33.3,1.1,3,11,27.3,27,6,33.3,31.9,8,25.0,37.9,14,0,0.0,1,14.0
