gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2021-08-13,20:30 ,M'Gladbach,2.3,1–1,2.5,Bayern Munich,"22,925",Stadion im Borussia-Park,Marco Fritz,Bundesliga,1,Adi Hütter,M'Gladbach,4-2-3-1,Yann Sommer,ch SUI,32-239,90,9,1,8,88.9,2.1,9,25,36.0,30,4,60.0,45.5,9,77.8,52.9,17,1,5.9,0,4.3
1,Fri,2021-08-13,20:30 ,M'Gladbach,2.3,1–1,2.5,Bayern Munich,"22,925",Stadion im Borussia-Park,Marco Fritz,Bundesliga,1,Julian Nagelsmann,Bayern Munich,4-2-3-1,Manuel Neuer,de GER,35-139,90,4,1,3,75.0,0.9,3,5,60.0,47,9,10.6,22.8,6,0.0,21.0,9,0,0.0,4,29.6
1,Sat,2021-08-14,15:30 ,Stuttgart,3.0,5–1,1.2,Greuther Fürth,"18,109",Mercedes-Benz Arena,Felix Zwayer,Bundesliga,1,Pellegrino Matarazzo,Stuttgart,3-4-3,Florian Müller,de GER,23-274,90,4,1,3,75.0,1.2,2,7,28.6,23,5,30.4,32.2,4,0.0,13.8,7,0,0.0,3,18.7
1,Sat,2021-08-14,15:30 ,Stuttgart,3.0,5–1,1.2,Greuther Fürth,"18,109",Mercedes-Benz Arena,Felix Zwayer,Bundesliga,1,Stefan Leitl,Greuther Fürth,3-5-2,Sascha Burchert,de GER,31-288,90,15,5,10,66.7,4.9,7,17,41.2,26,5,42.3,39.2,9,66.7,47.1,20,0,0.0,2,13.8
1,Sat,2021-08-14,15:30 ,Union Berlin,0.5,1–1,0.8,Leverkusen,"11,000",Stadion An der Alten Försterei,Tobias Reichel,Bundesliga,1,Urs Fischer,Union Berlin,5-3-2,Andreas Luthe,de GER,34-157,90,3,1,2,66.7,0.3,2,11,18.2,22,4,36.4,34.6,6,50.0,39.3,14,1,7.1,0,9.0
1,Sat,2021-08-14,15:30 ,Union Berlin,0.5,1–1,0.8,Leverkusen,"11,000",Stadion An der Alten Försterei,Tobias Reichel,Bundesliga,1,Gerardo Seoane,Leverkusen,4-2-3-1,Lukáš Hrádecký,fi FIN,31-263,90,5,1,4,80.0,0.6,6,15,40.0,33,3,30.3,29.2,7,71.4,51.9,6,0,0.0,3,24.3
1,Sat,2021-08-14,15:30 ,Wolfsburg,2.0,1–0,0.4,Bochum,"8,536",Volkswagen Arena,Frank Willenborg,Bundesliga,1,Mark van Bommel,Wolfsburg,4-2-3-1,Koen Casteels,be BEL,29-050,90,1,0,1,100.0,0.0,2,7,28.6,18,5,22.2,28.2,6,50.0,43.8,9,2,22.2,2,16.2
1,Sat,2021-08-14,15:30 ,Wolfsburg,2.0,1–0,0.4,Bochum,"8,536",Volkswagen Arena,Frank Willenborg,Bundesliga,1,Thomas Reis,Bochum,4-3-3,Manuel Riemann,de GER,32-339,90,8,1,6,87.5,2.4,15,38,39.5,52,3,57.7,42.3,10,80.0,54.4,14,0,0.0,7,25.8
1,Sat,2021-08-14,15:30 ,Arminia,0.4,0–0,1.6,Freiburg,"13,750",SchücoArena,Sven Jablonski,Bundesliga,1,Frank Kramer,Arminia,4-1-2-1-2,Stefan Ortega,de GER,28-281,90,5,0,5,100.0,1.1,19,42,45.2,60,2,58.3,44.3,12,58.3,50.8,20,0,0.0,0,9.0
1,Sat,2021-08-14,15:30 ,Arminia,0.4,0–0,1.6,Freiburg,"13,750",SchücoArena,Sven Jablonski,Bundesliga,1,Christian Streich,Freiburg,3-4-3,Mark Flekken,nl NED,28-062,90,3,0,3,100.0,0.8,6,15,40.0,22,3,45.5,41.5,7,71.4,59.0,14,1,7.1,0,9.3
