gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2020-08-21,19:00 ,Bordeaux,0.5,0–0,0.2,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,Ligue-1,1,Jean-Louis Gasset,Bordeaux,4-3-3,Benoît Costil,fr FRA,33-049,90,1,0,1,100.0,0.2,14,29,48.3,40,0,62.5,42.9,4,100.0,64.3,14,0,0.0,2,24.3
1,Fri,2020-08-21,19:00 ,Bordeaux,0.5,0–0,0.2,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,Ligue-1,1,Christian Gourcuff,Nantes,4-4-2,Alban Lafont,fr FRA,21-211,90,1,0,1,100.0,0.0,0,1,0.0,17,2,5.9,22.4,7,0.0,25.3,7,0,0.0,1,15.0
1,Sat,2020-08-22,17:00 ,Dijon,0.9,0–1,1.5,Angers,,Stade Gaston Gérard,Eric Wattellier,Ligue-1,1,Stéphane Jobard,Dijon,4-3-3,Alfred Gomis,sn SEN,26-352,90,4,1,3,75.0,1.2,3,5,60.0,19,4,15.8,25.3,9,22.2,33.2,18,1,5.6,4,19.4
1,Sat,2020-08-22,17:00 ,Dijon,0.9,0–1,1.5,Angers,,Stade Gaston Gérard,Eric Wattellier,Ligue-1,1,Stéphane Moulin,Angers,4-1-4-1,Paul Bernardoni,fr FRA,23-126,90,1,0,1,100.0,0.0,1,6,16.7,21,7,23.8,29.0,5,20.0,35.8,8,0,0.0,0,17.0
1,Sat,2020-08-22,21:00 ,Lille,0.4,1–1,1.6,Rennes,"3,975",Stade Pierre-Mauroy,Clément Turpin,Ligue-1,1,Christophe Galtier,Lille,4-2-2-2,Mike Maignan,fr FRA,25-050,90,2,1,1,50.0,1.0,4,20,20.0,25,6,48.0,38.1,9,88.9,67.7,11,0,0.0,0,14.0
1,Sat,2020-08-22,21:00 ,Lille,0.4,1–1,1.6,Rennes,"3,975",Stade Pierre-Mauroy,Clément Turpin,Ligue-1,1,Julien Stéphan,Rennes,4-3-3,Edouard Mendy,sn SEN,28-174,90,1,1,0,0.0,0.8,6,11,54.5,23,2,43.5,33.5,6,16.7,29.0,11,0,0.0,0,11.0
1,Sun,2020-08-23,13:00 ,Monaco,1.8,2–2,1.7,Reims,,Stade Louis II.,François Letexier,Ligue-1,1,Niko Kovač,Monaco,4-3-3,Benjamin Lecomte,fr FRA,29-119,90,3,2,1,33.3,1.2,0,2,0.0,26,6,7.7,23.3,9,0.0,23.7,4,0,0.0,7,23.5
1,Sun,2020-08-23,13:00 ,Monaco,1.8,2–2,1.7,Reims,,Stade Louis II.,François Letexier,Ligue-1,1,David Guion,Reims,4-4-2,Predrag Rajković,rs SRB,24-297,90,5,2,3,60.0,1.6,8,24,33.3,20,2,55.0,45.3,18,72.2,52.9,29,0,0.0,0,10.0
1,Sun,2020-08-23,15:00 ,Nîmes,1.7,4–0,0.8,Brest,,Stade des Costières,Jérémie Pignard,Ligue-1,1,Jérôme Arpinon,Nîmes,4-2-3-1,Baptiste Reynet,fr FRA,29-300,90,3,0,3,100.0,0.8,11,27,40.7,34,4,61.8,45.8,7,85.7,57.7,10,0,0.0,0,14.0
1,Sun,2020-08-23,15:00 ,Nîmes,1.7,4–0,0.8,Brest,,Stade des Costières,Jérémie Pignard,Ligue-1,1,Olivier Dall’Oglio,Brest,4-2-3-1,Gautier Larsonneur,fr FRA,23-182,90,5,4,1,20.0,2.5,5,7,71.4,19,1,31.6,32.5,9,11.1,20.9,11,0,0.0,1,19.0
