dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2019-08-24,18:00 ,Parma,0.3,0–1,1.4,Juventus,"20,073",Stadio Ennio Tardini,Fabio Maresca,Serie-A,1,Roberto D'Aversa,Parma,4-3-3,Luigi Sepe,it ITA,28-108,90,4,1,3,75.0,0.2,3,11,27.3,21,3,52.4,41.6,10,0.0,16.6,19,1,5.3,2,19.3
Sat,2019-08-24,18:00 ,Parma,0.3,0–1,1.4,Juventus,"20,073",Stadio Ennio Tardini,Fabio Maresca,Serie-A,1,Maurizio Sarri,Juventus,4-3-3,Wojciech Szczęsny,pl POL,29-128,90,2,0,2,100.0,0.3,5,9,55.6,23,8,34.8,34.6,4,25.0,30.0,10,0,0.0,2,16.5
Sat,2019-08-24,20:45 ,Fiorentina,1.7,3–4,2.0,Napoli,"33,614",Stadio Artemio Franchi,Davide Massa,Serie-A,1,Vincenzo Montella,Fiorentina,4-3-3,Bartłomiej Drągowski,pl POL,22-005,90,7,4,3,57.1,3.2,7,11,63.6,19,4,52.6,37.8,3,33.3,30.7,12,1,8.3,0,4.0
Sat,2019-08-24,20:45 ,Fiorentina,1.7,3–4,2.0,Napoli,"33,614",Stadio Artemio Franchi,Davide Massa,Serie-A,1,Carlo Ancelotti,Napoli,4-4-1-1,Alex Meret,it ITA,22-155,90,6,3,3,66.7,1.8,2,8,25.0,24,8,20.8,27.7,8,37.5,32.6,13,0,0.0,0,7.0
Sun,2019-08-25,18:00 ,Udinese,0.8,1–0,0.7,Milan,"24,584",Dacia Arena,Fabrizio Pasqua,Serie-A,1,Igor Tudor,Udinese,3-5-2,Juan Musso,ar ARG,25-111,90,0,0,0,,0.0,10,17,58.8,19,5,52.6,38.6,10,70.0,51.1,10,1,10.0,2,14.8
Sun,2019-08-25,18:00 ,Udinese,0.8,1–0,0.7,Milan,"24,584",Dacia Arena,Fabrizio Pasqua,Serie-A,1,Marco Giampaolo,Milan,4-3-1-2,Gianluigi Donnarumma,it ITA,20-181,90,6,1,5,83.3,0.8,2,5,40.0,20,6,15.0,21.6,7,28.6,34.1,17,1,5.9,3,16.3
Sun,2019-08-25,20:45 ,SPAL,1.6,2–3,1.8,Atalanta,"11,706",Stadio Paolo Mazza,Gianluca Manganiello,Serie-A,1,Leonardo Semplici,SPAL,3-5-2,Etrit Berisha,al ALB,30-168,90,13,3,10,76.9,3.4,5,16,31.3,30,6,40.0,33.7,8,50.0,41.4,25,0,0.0,0,10.3
Sun,2019-08-25,20:45 ,SPAL,1.6,2–3,1.8,Atalanta,"11,706",Stadio Paolo Mazza,Gianluca Manganiello,Serie-A,1,Gian Piero Gasperini,Atalanta,3-4-1-2,Pierluigi Gollini,it ITA,24-160,90,3,2,1,33.3,2.2,6,18,33.3,30,3,40.0,34.7,8,75.0,51.0,14,0,0.0,1,23.5
Sun,2019-08-25,20:45 ,Roma,2.5,3–3,1.3,Genoa,"38,779",Stadio Olimpico,Giampaolo Calvarese,Serie-A,1,Paulo Fonseca,Roma,4-2-3-1,Pau López,es ESP,24-255,90,4,3,1,50.0,1.7,5,13,38.5,26,5,38.5,33.9,4,75.0,54.8,5,0,0.0,1,17.3
Sun,2019-08-25,20:45 ,Roma,2.5,3–3,1.3,Genoa,"38,779",Stadio Olimpico,Giampaolo Calvarese,Serie-A,1,Aurelio Andreazzoli,Genoa,3-1-4-2,Ionuț Radu,ro ROU,22-089,90,9,3,6,66.7,2.0,5,11,45.5,35,4,20.0,26.9,12,33.3,35.7,15,1,6.7,0,4.0
Sun,2019-08-25,20:45 ,Torino,1.2,2–1,1.3,Sassuolo,"16,536",Stadio Olimpico di Torino,Maurizio Mariani,Serie-A,1,Walter Mazzarri,Torino,3-5-2,Salvatore Sirigu,it ITA,32-225,90,9,1,8,88.9,1.1,9,15,60.0,15,1,46.7,36.0,8,100.0,50.6,9,0,0.0,2,17.4
Sun,2019-08-25,20:45 ,Torino,1.2,2–1,1.3,Sassuolo,"16,536",Stadio Olimpico di Torino,Maurizio Mariani,Serie-A,1,Roberto De Zerbi,Sassuolo,4-3-1-2,Andrea Consigli,it ITA,32-210,90,4,2,2,50.0,1.1,3,8,37.5,18,3,33.3,33.8,5,40.0,32.2,13,0,0.0,3,24.7
Sun,2019-08-25,20:45 ,Hellas Verona,0.2,1–1,1.8,Bologna,"16,324",Stadio Marc'Antonio Bentegodi,Antonio Giua,Serie-A,1,Ivan Jurić,Hellas Verona,3-4-3,Marco Silvestri,it ITA,28-176,90,2,1,1,100.0,1.2,8,28,28.6,14,0,100.0,57.5,15,93.3,57.8,22,1,4.5,0,7.3
Sun,2019-08-25,20:45 ,Hellas Verona,0.2,1–1,1.8,Bologna,"16,324",Stadio Marc'Antonio Bentegodi,Antonio Giua,Serie-A,1,Siniša Mihajlović,Bologna,4-2-3-1,Łukasz Skorupski,pl POL,28-112,90,2,1,1,50.0,0.2,7,10,70.0,18,4,33.3,31.9,5,80.0,47.0,2,0,0.0,1,27.0
Sun,2019-08-25,20:45 ,Sampdoria,0.7,0–3,1.8,Lazio,"19,500",Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Serie-A,1,Eusebio Di Francesco,Sampdoria,4-3-3,Emil Audero,it ITA,22-219,90,10,3,7,70.0,2.8,1,5,20.0,17,4,5.9,23.6,9,44.4,36.3,18,0,0.0,0,17.0
