dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2020-09-19,18:00 ,Fiorentina,1.9,1–0,0.7,Torino,,Stadio Artemio Franchi,Rosario Abisso,Serie-A,1,Giuseppe Iachini,Fiorentina,3-5-2,Bartłomiej Drągowski,pl POL,23-031,90,3,0,3,100.0,0.7,1,5,20.0,21,7,19.0,32.3,3,33.3,34.7,5,0,0.0,0,10.5
Sat,2020-09-19,18:00 ,Fiorentina,1.9,1–0,0.7,Torino,,Stadio Artemio Franchi,Rosario Abisso,Serie-A,1,Marco Giampaolo,Torino,4-3-1-2,Salvatore Sirigu,it ITA,33-251,90,5,1,4,80.0,1.8,4,8,50.0,32,7,15.6,26.1,7,42.9,28.6,15,0,0.0,0,6.5
Sat,2020-09-19,20:45 ,Hellas Verona,,3–0,,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Serie-A,1,Ivan Jurić,Hellas Verona,3-4-3,Marco Silvestri,it ITA,29-201,90,4,,4,,,,,,,,,,,,,,,,,
Sat,2020-09-19,20:45 ,Hellas Verona,,3–0,,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Serie-A,1,Paulo Fonseca,Roma,3-4-3,Antonio Mirante,it ITA,37-073,90,3,,3,,,,,,,,,,,,,,,,,
Sun,2020-09-20,12:30 ,Parma,0.3,0–2,1.6,Napoli,"1,000",Stadio Ennio Tardini,Maurizio Mariani,Serie-A,1,Fabio Liverani,Parma,4-1-2-1-2,Luigi Sepe,it ITA,29-135,90,6,2,4,66.7,1.7,10,12,83.3,26,4,38.5,32.4,12,16.7,21.4,11,2,18.2,0,5.4
Sun,2020-09-20,12:30 ,Parma,0.3,0–2,1.6,Napoli,"1,000",Stadio Ennio Tardini,Maurizio Mariani,Serie-A,1,Gennaro Gattuso,Napoli,4-3-3,David Ospina,co COL,32-020,90,2,0,2,100.0,0.1,2,5,40.0,26,5,15.4,28.2,3,33.3,27.0,9,2,22.2,1,13.7
Sun,2020-09-20,15:00 ,Genoa,2.3,4–1,1.6,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Serie-A,1,Rolando Maran,Genoa,3-5-2,Mattia Perin,it ITA,27-315,90,3,1,2,66.7,1.2,5,17,29.4,30,3,43.3,35.8,7,57.1,47.0,13,0,0.0,0,4.0
Sun,2020-09-20,15:00 ,Genoa,2.3,4–1,1.6,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Serie-A,1,Giovanni Stroppa,Crotone,3-4-1-2,Alex Cordaz,it ITA,37-263,90,6,4,2,33.3,3.0,2,5,40.0,20,3,15.0,23.2,6,33.3,25.7,9,0,0.0,3,32.0
Sun,2020-09-20,18:00 ,Sassuolo,2.1,1–1,0.9,Cagliari,850,Mapei Stadium - Città del Tricolore,Livio Marinelli,Serie-A,1,Roberto De Zerbi,Sassuolo,4-2-3-1,Andrea Consigli,it ITA,33-237,90,4,1,3,75.0,1.3,1,2,50.0,20,4,5.0,19.8,5,20.0,26.2,7,0,0.0,0,
Sun,2020-09-20,18:00 ,Sassuolo,2.1,1–1,0.9,Cagliari,850,Mapei Stadium - Città del Tricolore,Livio Marinelli,Serie-A,1,Eusebio Di Francesco,Cagliari,4-1-4-1,Alessio Cragno,it ITA,26-084,90,9,1,8,88.9,1.6,7,15,46.7,17,7,35.3,31.2,16,56.3,41.2,18,0,0.0,0,
Sun,2020-09-20,20:45 ,Juventus,2.0,3–0,0.8,Sampdoria,"1,000",Allianz Stadium,Marco Piccinini,Serie-A,1,Andrea Pirlo,Juventus,3-4-1-2,Wojciech Szczęsny,pl POL,30-155,90,1,0,1,100.0,0.0,4,6,66.7,39,4,15.4,27.8,8,0.0,18.1,16,0,0.0,1,17.0
Sun,2020-09-20,20:45 ,Juventus,2.0,3–0,0.8,Sampdoria,"1,000",Allianz Stadium,Marco Piccinini,Serie-A,1,Claudio Ranieri,Sampdoria,4-1-4-1,Emil Audero,it ITA,23-246,90,8,3,5,62.5,2.6,4,10,40.0,24,6,37.5,34.0,8,12.5,29.9,12,0,0.0,1,9.3
Mon,2020-09-21,20:45 ,Milan,2.6,2–0,1.1,Bologna,"1,000",Stadio Giuseppe Meazza,Federico La Penna,Serie-A,1,Stefano Pioli,Milan,4-2-3-1,Gianluigi Donnarumma,it ITA,21-209,90,4,0,4,100.0,1.0,4,8,50.0,32,4,21.9,27.2,2,50.0,36.5,11,1,9.1,1,18.3
Mon,2020-09-21,20:45 ,Milan,2.6,2–0,1.1,Bologna,"1,000",Stadio Giuseppe Meazza,Federico La Penna,Serie-A,1,Siniša Mihajlović,Bologna,4-2-3-1,Łukasz Skorupski,pl POL,29-139,90,5,2,3,80.0,1.4,6,15,40.0,32,3,40.6,35.1,10,20.0,30.0,19,0,0.0,0,11.7
Sat,2020-09-26,15:00 ,Torino,0.6,2–4,2.1,Atalanta,"1,000",Stadio Olimpico di Torino,Massimiliano Irrati,Serie-A,2,Marco Giampaolo,Torino,4-3-1-2,Salvatore Sirigu,it ITA,33-258,90,7,4,3,42.9,2.1,2,15,13.3,39,5,33.3,32.2,10,20.0,29.0,25,0,0.0,3,19.2
Sat,2020-09-26,15:00 ,Torino,0.6,2–4,2.1,Atalanta,"1,000",Stadio Olimpico di Torino,Massimiliano Irrati,Serie-A,2,Gian Piero Gasperini,Atalanta,3-4-1-2,Marco Sportiello,it ITA,28-139,90,4,2,2,50.0,1.5,5,9,55.6,20,5,25.0,27.5,4,100.0,57.3,12,1,8.3,1,17.0
Sat,2020-09-26,18:00 ,Sampdoria,1.0,2–3,1.1,Benevento,"1,000",Stadio Comunale Luigi Ferraris,Federico Dionisi,Serie-A,2,Claudio Ranieri,Sampdoria,4-4-2,Emil Audero,it ITA,23-252,90,5,3,2,40.0,1.2,5,17,29.4,22,4,40.9,35.9,10,80.0,54.1,15,0,0.0,1,16.0
Sat,2020-09-26,18:00 ,Sampdoria,1.0,2–3,1.1,Benevento,"1,000",Stadio Comunale Luigi Ferraris,Federico Dionisi,Serie-A,2,Filippo Inzaghi,Benevento,4-3-3,Lorenzo Montipò,it ITA,24-219,90,3,2,1,33.3,1.1,8,17,47.1,39,9,35.9,34.2,6,50.0,41.2,20,1,5.0,0,6.5
Sat,2020-09-26,18:00 ,Cagliari,1.2,0–2,2.3,Lazio,"1,000",Sardegna Arena,Davide Massa,Serie-A,2,Eusebio Di Francesco,Cagliari,4-3-3,Alessio Cragno,it ITA,26-090,90,6,2,4,66.7,2.7,2,2,100.0,22,7,9.1,21.1,5,0.0,18.2,14,2,14.3,2,17.0
Sat,2020-09-26,18:00 ,Cagliari,1.2,0–2,2.3,Lazio,"1,000",Sardegna Arena,Davide Massa,Serie-A,2,Simone Inzaghi,Lazio,3-5-2,Thomas Strakosha,al ALB,25-191,90,2,0,2,100.0,0.4,6,15,40.0,27,5,51.9,39.3,10,10.0,23.1,10,1,10.0,0,2.0
Sat,2020-09-26,20:45 ,Inter,2.3,4–3,2.4,Fiorentina,"1,000",Stadio Giuseppe Meazza,Giampaolo Calvarese,Serie-A,2,Antonio Conte,Inter,3-4-1-2,Samir Handanović,si SVN,36-074,90,4,3,1,25.0,2.6,3,3,100.0,22,1,9.1,21.8,4,25.0,24.8,5,0,0.0,0,16.0
Sat,2020-09-26,20:45 ,Inter,2.3,4–3,2.4,Fiorentina,"1,000",Stadio Giuseppe Meazza,Giampaolo Calvarese,Serie-A,2,Giuseppe Iachini,Fiorentina,3-5-2,Bartłomiej Drągowski,pl POL,23-038,90,8,4,5,50.0,1.9,5,22,22.7,32,6,59.4,44.6,11,27.3,29.3,18,0,0.0,1,14.0
Sun,2020-09-27,12:30 ,Spezia,1.4,1–4,2.1,Sassuolo,"1,000",Stadio Dino Manuzzi,Davide Ghersini,Serie-A,2,Vincenzo Italiano,Spezia,4-3-3,Jeroen Zoet,nl NED,29-265,90,6,4,2,50.0,1.6,4,10,40.0,26,9,34.6,32.8,5,20.0,22.8,14,0,0.0,0,4.0
Sun,2020-09-27,12:30 ,Spezia,1.4,1–4,2.1,Sassuolo,"1,000",Stadio Dino Manuzzi,Davide Ghersini,Serie-A,2,Roberto De Zerbi,Sassuolo,4-2-3-1,Andrea Consigli,it ITA,33-244,90,5,1,4,80.0,1.2,7,9,77.8,33,5,24.2,26.6,4,25.0,18.0,10,0,0.0,2,26.5
Sun,2020-09-27,15:00 ,Hellas Verona,0.9,1–0,2.2,Udinese,"1,000",Stadio Marc'Antonio Bentegodi,Manuel Volpi,Serie-A,2,Ivan Jurić,Hellas Verona,3-4-3,Marco Silvestri,it ITA,29-209,90,5,0,5,100.0,0.5,11,25,44.0,21,1,61.9,40.2,12,100.0,61.5,24,0,0.0,0,10.6
Sun,2020-09-27,15:00 ,Hellas Verona,0.9,1–0,2.2,Udinese,"1,000",Stadio Marc'Antonio Bentegodi,Manuel Volpi,Serie-A,2,Luca Gotti,Udinese,3-5-2,Juan Musso,ar ARG,26-144,90,2,1,1,50.0,0.8,6,13,46.2,25,4,40.0,32.6,10,30.0,31.3,9,2,22.2,1,14.6
Sun,2020-09-27,18:00 ,Crotone,0.2,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Serie-A,2,Giovanni Stroppa,Crotone,3-5-2,Alex Cordaz,it ITA,37-270,90,6,2,4,83.3,2.7,4,12,33.3,28,5,35.7,32.8,8,25.0,28.8,8,0,0.0,4,23.8
Sun,2020-09-27,18:00 ,Crotone,0.2,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Serie-A,2,Stefano Pioli,Milan,4-2-3-1,Gianluigi Donnarumma,it ITA,21-215,90,0,0,0,,0.0,5,18,27.8,25,4,48.0,36.0,9,66.7,43.6,17,1,5.9,1,11.8
Sun,2020-09-27,18:00 ,Napoli,2.9,6–0,0.7,Genoa,"1,000",Stadio Diego Armando Maradona,Juan Sacchi,Serie-A,2,Gennaro Gattuso,Napoli,4-2-3-1,Alex Meret,it ITA,23-189,90,0,0,0,,0.0,0,1,0.0,23,2,4.3,25.0,3,0.0,16.3,9,0,0.0,0,10.5
