gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Robert Lewandowski,1–2,50.0,45.0,9,POL,FW,30.986,90,2,0,1,1,4,1,1,0,30,0,0,0,1.6,0.8,0.0,4,1,17,19,89.5,2,20,2,2,2,255,11,8,8,100.0,6,8,75.0,1,1,100.0,0.0,0,1,0,0,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,22,8,29,100.0,0,0.0,125,27,1,2,4,3,29,11,0,1,2,1,1,0,0,0,2,1,66.7
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Kingsley Coman,1–2,16.67,40.0,29,FRA,LW,23.175,90,0,0,0,0,1,1,0,0,68,1,0,2,0.3,0.3,0.1,4,0,37,47,78.7,3,55,5,6,1,614,65,19,23,82.6,15,18,83.3,2,2,100.0,0.1,2,2,2,0,46,1,0,0,1,5,0,1,0,0,0,0,3,1,0,0,1,0,0,,0,0,2,1,0,0,0,5,25,39,9,68,16.7,5,83.3,270,127,1,4,2,4,55,21,0,0,3,0,0,0,0,5,1,1,50.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Serge Gnabry,1–2,50.0,5.0,22,GER,RW,24.09,86,0,1,0,0,4,2,0,0,67,1,0,0,0.2,0.2,1.0,7,1,46,58,79.3,6,51,10,3,3,668,192,25,27,92.6,17,19,89.5,2,4,50.0,0.7,5,3,5,0,53,5,0,0,0,4,5,0,0,0,0,0,4,1,0,1,0,0,0,,0,0,0,1,0,0,0,5,17,46,11,67,100.0,0,0.0,310,228,3,4,1,0,55,20,0,1,3,0,0,0,0,2,0,0,
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,   Alphonso Davies,1–2,9999.0,9999.0,19,CAN,RW,18.786,4,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,5,0,1,1,31,0,1,1,100.0,1,1,100.0,0,0,,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,5,0,6,100.0,0,0.0,32,23,1,0,1,0,5,2,0,0,1,0,0,0,0,0,0,0,
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Corentin Tolisso,1–2,16.67,30.0,24,FRA,LM,25.036,90,0,0,0,0,2,0,0,0,87,1,0,0,0.2,0.2,0.1,4,0,70,80,87.5,16,68,2,0,0,1200,372,33,35,94.3,29,31,93.5,7,10,70.0,0.1,2,11,1,0,78,2,2,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,2,0.0,2,0,0,1,0,0,0,13,48,26,6,87,,0,,217,93,1,0,1,1,76,7,0,1,3,0,0,0,0,4,1,1,50.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Thiago Alcántara,1–2,66.67,30.0,6,ESP,CM,28.348,90,0,0,0,0,1,1,0,0,95,1,3,0,0.0,0.0,0.0,1,1,75,86,87.2,10,66,0,2,1,1429,408,31,35,88.6,32,35,91.4,10,14,71.4,0.1,0,9,3,0,81,5,2,0,2,4,0,3,3,0,0,0,0,1,0,1,0,0,1,0.0,1,0,0,4,0,0,1,16,55,25,2,95,50.0,1,50.0,218,88,1,0,1,0,70,2,0,1,2,0,0,0,0,7,2,2,50.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Thomas Müller,1–2,83.33,30.0,25,GER,RM,29.923000000000002,84,0,0,0,0,3,1,1,0,51,1,0,1,0.2,0.2,0.1,2,0,30,41,73.2,5,33,2,0,0,441,98,16,18,88.9,12,16,75.0,0,0,,0.1,1,2,1,0,38,3,0,0,0,2,1,0,0,0,0,0,2,1,0,1,0,0,1,0.0,1,0,1,1,1,0,1,5,23,24,6,51,,0,,124,77,1,0,3,0,35,5,0,1,1,1,0,0,0,6,1,4,20.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,   Renato Sanches,1–2,9999.0,9999.0,35,POR,RM,21.995,6,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,9,0,0,0,96,8,4,4,100.0,3,4,75.0,0,0,,0.0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4,5,1,10,,0,,38,25,0,0,0,0,8,1,0,0,1,0,0,0,0,1,0,0,
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,David Alaba,1–2,16.67,15.0,27,AUT,LB,27.145,90,0,0,0,0,1,0,0,0,95,1,1,1,0.1,0.1,0.2,4,0,82,91,90.1,14,62,2,0,0,1129,468,54,55,98.2,24,28,85.7,3,5,60.0,0.3,2,8,1,0,74,17,1,0,0,4,14,2,0,0,0,0,1,1,0,1,0,1,1,100.0,0,0,1,2,1,0,1,22,40,33,1,95,,0,,226,128,1,0,0,0,65,4,0,0,0,0,0,0,0,4,0,3,0.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Benjamin Pavard,1–2,50.0,15.0,5,FRA,CB,23.386,90,0,0,0,0,0,0,1,0,88,0,0,0,0.0,0.0,0.0,0,0,77,82,93.9,9,68,3,3,3,1348,457,30,31,96.8,39,40,97.5,7,9,77.8,0.1,0,6,1,0,81,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,4,30,56,2,1,88,100.0,0,0.0,503,341,1,1,1,0,70,0,0,1,0,0,0,0,0,6,4,0,100.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Niklas Süle,1–2,66.67,15.0,4,GER,CB,23.951,90,0,0,0,0,0,0,0,0,77,1,1,1,0.0,0.0,0.0,1,0,68,73,93.2,5,58,1,0,0,1312,402,21,22,95.5,38,39,97.4,8,9,88.9,0.1,0,5,1,0,71,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,100.0,0,1,0,2,1,1,6,33,41,4,0,77,,0,,202,110,0,0,0,0,63,0,0,0,1,0,0,0,0,4,1,0,100.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Joshua Kimmich,1–2,83.33,15.0,32,GER,RB,24.518,90,0,0,0,0,0,0,0,0,118,0,0,0,0.0,0.0,0.2,4,1,88,117,75.2,10,72,6,2,2,1509,526,42,46,91.3,34,45,75.6,10,18,55.6,0.5,2,9,3,1,93,23,7,1,1,13,10,6,3,3,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,33,45,40,6,118,100.0,0,0.0,370,195,2,0,1,0,77,8,0,0,1,0,0,0,0,7,0,0,
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Manuel Neuer,1–2,50.0,5.0,1,GER,GK,33.389,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,13,0,0,0,524,301,7,7,100.0,14,14,100.0,4,8,50.0,0.0,0,0,0,0,22,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,23,30,0,0,0,30,,0,,74,54,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Ante Čović,Hertha BSC,3-4-1-2,Vedad Ibišević,1–2,75.0,45.0,19,BIH,FW,35.027,62,0,1,0,0,2,1,0,0,13,0,0,0,0.1,0.1,0.7,1,1,7,10,70.0,1,7,0,0,0,96,23,4,5,80.0,3,3,100.0,0,1,0.0,0.3,1,0,1,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,5,1,13,,0,,33,9,0,0,0,1,8,4,0,0,0,0,0,0,0,1,0,3,0.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Ante Čović,Hertha BSC,3-4-1-2,   Alexander Esswein,1–2,9999.0,9999.0,9,GER,FW,29.395,28,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,19,13,2,2,100.0,0,1,0.0,0,0,,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,2,0,1,0,1,2,3,2,0,7,,0,,33,33,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,
