gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Niko Kovač,Bayern Munich,4-3-3,Manuel Neuer,de GER,33-142,90,3,2,1,33.3,1.4,1,5,20.0,23,6,21.7,25.2,6,0.0,24.2,6,0,0.0,2,20.0
1,Fri,2019-08-16,20:30 ,Bayern Munich,2.5,2–2,1.1,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Bundesliga,1,Ante Čović,Hertha BSC,3-4-1-2,Rune Jarstein,no NOR,34-321,90,7,2,5,85.7,2.4,11,24,45.8,30,5,60.0,44.3,7,85.7,56.4,27,1,3.7,1,10.0
1,Sat,2019-08-17,15:30 ,Wolfsburg,1.0,2–1,1.2,Köln,"25,099",Volkswagen Arena,Sven Jablonski,Bundesliga,1,Oliver Glasner,Wolfsburg,3-4-3,Koen Casteels,be BEL,27-053,90,2,1,1,50.0,0.9,8,18,44.4,36,7,38.9,36.4,7,57.1,47.6,20,1,5.0,0,11.0
1,Sat,2019-08-17,15:30 ,Wolfsburg,1.0,2–1,1.2,Köln,"25,099",Volkswagen Arena,Sven Jablonski,Bundesliga,1,Achim Beierlorzer,Köln,4-2-3-1,Timo Horn,de GER,26-097,90,5,2,3,60.0,1.5,11,20,55.0,36,11,50.0,38.4,5,40.0,32.6,9,1,11.1,1,18.0
1,Sat,2019-08-17,15:30 ,Freiburg,2.3,3–0,1.0,Mainz 05,"24,000",Schwarzwald-Stadion,Robert Hartmann,Bundesliga,1,Christian Streich,Freiburg,3-4-1-2,Alexander Schwolow,de GER,27-076,90,5,0,5,100.0,0.4,4,9,44.4,34,10,11.8,26.8,9,55.6,47.4,11,0,0.0,2,18.8
1,Sat,2019-08-17,15:30 ,Freiburg,2.3,3–0,1.0,Mainz 05,"24,000",Schwarzwald-Stadion,Robert Hartmann,Bundesliga,1,Sandro Schwarz,Mainz 05,4-3-1-2,Florian Müller,de GER,21-277,90,8,3,5,75.0,3.5,8,20,40.0,23,5,43.5,41.6,14,71.4,50.9,19,0,0.0,0,9.5
1,Sat,2019-08-17,15:30 ,Dortmund,3.2,5–1,0.9,Augsburg,"81,365",Signal Iduna Park,Frank Willenborg,Bundesliga,1,Lucien Favre,Dortmund,4-2-3-1,Marwin Hitz,ch SUI,31-333,90,1,1,0,0.0,0.8,0,0,,15,1,0.0,17.5,4,0.0,16.3,5,0,0.0,1,16.5
1,Sat,2019-08-17,15:30 ,Dortmund,3.2,5–1,0.9,Augsburg,"81,365",Signal Iduna Park,Frank Willenborg,Bundesliga,1,Martin Schmidt,Augsburg,4-2-3-1,Tomáš Koubek,cz CZE,26-356,90,9,5,4,44.4,4.4,7,13,53.8,15,2,40.0,36.1,16,43.8,43.8,20,1,5.0,0,6.3
1,Sat,2019-08-17,15:30 ,Leverkusen,2.5,3–2,1.2,Paderborn 07,"26,208",BayArena,Tobias Stieler,Bundesliga,1,Peter Bosz,Leverkusen,3-4-3,Lukáš Hrádecký,fi FIN,29-266,90,5,2,3,60.0,1.3,6,13,46.2,51,4,21.6,28.9,7,28.6,35.0,8,0,0.0,2,22.3
1,Sat,2019-08-17,15:30 ,Leverkusen,2.5,3–2,1.2,Paderborn 07,"26,208",BayArena,Tobias Stieler,Bundesliga,1,Steffen Baumgart,Paderborn 07,4-4-2,Jannik Huth,de GER,25-124,90,4,3,1,25.0,2.8,0,12,0.0,21,4,38.1,35.8,9,44.4,41.3,14,0,0.0,1,15.5
1,Sat,2019-08-17,15:30 ,Werder Bremen,1.9,1–3,1.0,Düsseldorf,"42,100",Weserstadion,Felix Zwayer,Bundesliga,1,Florian Kohfeldt,Werder Bremen,4-3-3,Jiří Pavlenka,cz CZE,27-125,90,7,3,4,57.1,2.0,3,3,100.0,12,4,16.7,28.0,8,12.5,25.9,11,0,0.0,0,10.5
1,Sat,2019-08-17,15:30 ,Werder Bremen,1.9,1–3,1.0,Düsseldorf,"42,100",Weserstadion,Felix Zwayer,Bundesliga,1,Friedhelm Funkel,Düsseldorf,4-2-3-1,Zack Steffen,us USA,24-137,90,10,1,9,90.0,1.5,9,21,42.9,29,7,51.7,42.1,7,85.7,62.9,28,1,3.6,0,5.8
1,Sat,2019-08-17,18:30 ,M'Gladbach,1.5,0–0,0.8,Schalke 04,"54,022",Stadion im Borussia-Park,Felix Brych,Bundesliga,1,Marco Rose,M'Gladbach,4-1-2-1-2,Yann Sommer,ch SUI,30-243,90,1,0,1,100.0,0.0,0,4,0.0,48,7,6.3,23.4,6,16.7,22.0,7,1,14.3,1,15.5
1,Sat,2019-08-17,18:30 ,M'Gladbach,1.5,0–0,0.8,Schalke 04,"54,022",Stadion im Borussia-Park,Felix Brych,Bundesliga,1,David Wagner,Schalke 04,4-2-3-1,Alexander Nübel,de GER,22-321,90,4,0,4,100.0,0.9,8,21,38.1,27,5,55.6,41.7,8,75.0,50.3,15,3,20.0,0,5.3
1,Sun,2019-08-18,15:30 ,Eint Frankfurt,1.8,1–0,0.8,Hoffenheim,"50,200",Deutsche Bank Park,Daniel Siebert,Bundesliga,1,Adi Hütter,Eint Frankfurt,3-4-3,Kevin Trapp,de GER,29-041,90,1,0,1,100.0,0.3,5,21,23.8,25,1,68.0,44.8,6,66.7,47.8,8,1,12.5,0,10.8
1,Sun,2019-08-18,15:30 ,Eint Frankfurt,1.8,1–0,0.8,Hoffenheim,"50,200",Deutsche Bank Park,Daniel Siebert,Bundesliga,1,Alfred Schreuder,Hoffenheim,3-4-3,Oliver Baumann,de GER,29-077,90,7,1,6,85.7,1.1,4,12,33.3,50,6,22.0,28.4,7,14.3,22.1,17,1,5.9,0,4.0
1,Sun,2019-08-18,18:00 ,Union Berlin,1.0,0–4,3.4,RB Leipzig,"22,467",Stadion An der Alten Försterei,Markus Schmidt,Bundesliga,1,Urs Fischer,Union Berlin,4-2-3-1,Rafał Gikiewicz,pl POL,31-296,90,8,4,4,50.0,3.3,9,18,50.0,34,5,32.4,31.9,7,100.0,64.9,9,0,0.0,1,16.3
1,Sun,2019-08-18,18:00 ,Union Berlin,1.0,0–4,3.4,RB Leipzig,"22,467",Stadion An der Alten Försterei,Markus Schmidt,Bundesliga,1,Julian Nagelsmann,RB Leipzig,3-4-3,Péter Gulácsi,hu HUN,29-104,90,2,0,2,100.0,0.1,4,11,36.4,38,9,15.8,27.4,7,71.4,47.4,14,0,0.0,3,20.3
2,Fri,2019-08-23,20:30 ,Köln,0.9,1–3,2.2,Dortmund,"50,000",RheinEnergieSTADION,Christian Dingert,Bundesliga,2,Achim Beierlorzer,Köln,4-4-2,Timo Horn,de GER,26-103,90,6,3,3,50.0,2.9,3,9,33.3,17,1,52.9,43.7,6,0.0,16.0,12,0,0.0,0,6.0
2,Fri,2019-08-23,20:30 ,Köln,0.9,1–3,2.2,Dortmund,"50,000",RheinEnergieSTADION,Christian Dingert,Bundesliga,2,Lucien Favre,Dortmund,4-2-3-1,Roman Bürki,ch SUI,28-282,90,1,1,0,0.0,0.3,2,6,33.3,36,8,11.1,23.3,5,40.0,31.0,13,0,0.0,4,20.9
2,Sat,2019-08-24,15:30 ,Paderborn 07,2.3,1–3,2.3,Freiburg,"14,322",Benteler-Arena,Tobias Welz,Bundesliga,2,Steffen Baumgart,Paderborn 07,4-4-2,Jannik Huth,de GER,25-131,90,4,3,1,50.0,2.3,3,8,37.5,28,7,25.0,30.4,5,20.0,24.2,10,0,0.0,1,17.0
2,Sat,2019-08-24,15:30 ,Paderborn 07,2.3,1–3,2.3,Freiburg,"14,322",Benteler-Arena,Tobias Welz,Bundesliga,2,Christian Streich,Freiburg,3-4-1-2,Alexander Schwolow,de GER,27-083,90,2,1,1,50.0,1.0,2,23,8.7,32,6,43.8,40.4,11,81.8,65.5,15,2,13.3,0,6.3
2,Sat,2019-08-24,15:30 ,Düsseldorf,1.0,1–3,1.6,Leverkusen,"44,538",Merkur Spielarena,Patrick Ittrich,Bundesliga,2,Friedhelm Funkel,Düsseldorf,4-2-2-2,Zack Steffen,us USA,24-144,90,6,3,4,50.0,1.5,11,21,52.4,22,4,50.0,38.6,12,83.3,56.7,9,0,0.0,1,10.7
2,Sat,2019-08-24,15:30 ,Düsseldorf,1.0,1–3,1.6,Leverkusen,"44,538",Merkur Spielarena,Patrick Ittrich,Bundesliga,2,Peter Bosz,Leverkusen,4-1-4-1,Lukáš Hrádecký,fi FIN,29-273,90,6,1,5,83.3,1.3,10,13,76.9,39,8,30.8,31.8,5,20.0,32.0,8,0,0.0,0,
2,Sat,2019-08-24,15:30 ,Hoffenheim,0.9,3–2,1.2,Werder Bremen,"27,333",PreZero Arena,Sascha Stegemann,Bundesliga,2,Alfred Schreuder,Hoffenheim,3-4-3,Oliver Baumann,de GER,29-083,90,5,2,3,60.0,1.3,3,8,37.5,30,4,23.3,28.8,5,20.0,26.6,12,0,0.0,1,31.0
