dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2017-08-19,18:00 ,Juventus,1.1,3–0,1.4,Cagliari,"39,226",Allianz Stadium,Fabio Maresca,Serie-A,1,Massimiliano Allegri,Juventus,4-2-3-1,Gianluigi Buffon,it ITA,39-203,90,2,0,1,100.0,1.0,5,8,62.5,29,6,24.1,27.4,4,25.0,29.8,9,1,11.1,2,13.3
Sat,2017-08-19,18:00 ,Juventus,1.1,3–0,1.4,Cagliari,"39,226",Allianz Stadium,Fabio Maresca,Serie-A,1,Massimo Rastelli,Cagliari,4-3-1-2,Alessio Cragno,it ITA,23-052,90,7,3,4,57.1,2.3,5,11,45.5,15,4,46.7,36.1,4,100.0,59.0,13,0,0.0,1,14.0
Sat,2017-08-19,20:45 ,Hellas Verona,1.3,1–3,2.1,Napoli,"15,215",Stadio Marc'Antonio Bentegodi,Michael Fabbri,Serie-A,1,Fabio Pecchia,Hellas Verona,4-3-3,Nícolas Andrade,br BRA,29-129,90,11,3,9,72.7,2.7,11,30,36.7,38,6,63.2,44.9,10,60.0,49.5,11,2,18.2,0,4.3
Sat,2017-08-19,20:45 ,Hellas Verona,1.3,1–3,2.1,Napoli,"15,215",Stadio Marc'Antonio Bentegodi,Michael Fabbri,Serie-A,1,Maurizio Sarri,Napoli,4-3-3,Pepe Reina,es ESP,34-353,90,4,1,3,100.0,1.1,7,21,33.3,25,3,60.0,37.9,12,50.0,40.8,8,0,0.0,2,24.5
Sun,2017-08-20,18:00 ,Atalanta,1.5,0–1,0.4,Roma,"19,108",Stadio Atleti Azzurri d'Italia,Piero Giacomelli,Serie-A,1,Gian Piero Gasperini,Atalanta,3-4-1-2,Etrit Berisha,al ALB,28-163,90,1,1,0,0.0,0.4,2,6,33.3,13,5,7.7,27.1,6,83.3,53.5,5,0,0.0,0,18.0
Sun,2017-08-20,18:00 ,Atalanta,1.5,0–1,0.4,Roma,"19,108",Stadio Atleti Azzurri d'Italia,Piero Giacomelli,Serie-A,1,Eusebio Di Francesco,Roma,4-3-3,Alisson,br BRA,24-322,90,6,0,6,100.0,0.6,12,22,54.5,23,7,52.2,40.3,11,90.9,59.6,21,0,0.0,0,5.0
Sun,2017-08-20,20:45 ,Udinese,0.8,1–2,0.5,Chievo,"13,000",Dacia Arena,Claudio Gavillucci,Serie-A,1,Luigi Delneri,Udinese,4-4-2,Simone Scuffet,it ITA,21-081,90,3,2,1,33.3,0.3,2,16,12.5,14,2,64.3,42.9,8,87.5,57.3,17,0,0.0,0,7.0
Sun,2017-08-20,20:45 ,Udinese,0.8,1–2,0.5,Chievo,"13,000",Dacia Arena,Claudio Gavillucci,Serie-A,1,Rolando Maran,Chievo,4-3-1-2,Stefano Sorrentino,it ITA,38-145,90,5,1,4,80.0,0.7,3,16,18.8,16,4,56.3,45.0,11,63.6,46.9,24,0,0.0,0,19.0
Sun,2017-08-20,20:45 ,Inter,2.3,3–0,0.6,Fiorentina,"51,752",Stadio Giuseppe Meazza,Paolo Tagliavento,Serie-A,1,Luciano Spalletti,Inter,4-2-3-1,Samir Handanović,si SVN,33-037,90,3,0,3,100.0,0.6,5,11,45.5,31,9,22.6,26.7,8,50.0,36.8,22,1,4.5,1,12.5
Sun,2017-08-20,20:45 ,Inter,2.3,3–0,0.6,Fiorentina,"51,752",Stadio Giuseppe Meazza,Paolo Tagliavento,Serie-A,1,Stefano Pioli,Fiorentina,4-3-3,Marco Sportiello,it ITA,25-102,90,6,3,3,66.7,3.3,4,14,28.6,27,8,44.4,38.0,8,25.0,33.5,14,1,7.1,0,8.3
Sun,2017-08-20,20:45 ,Bologna,0.6,1–1,0.4,Torino,"19,033",Stadio Renato Dall'Ara,Davide Massa,Serie-A,1,Roberto Donadoni,Bologna,4-3-3,Antonio Mirante,it ITA,34-043,90,3,1,2,66.7,0.8,11,23,47.8,27,4,55.6,39.3,9,88.9,56.7,15,0,0.0,0,3.5
Sun,2017-08-20,20:45 ,Bologna,0.6,1–1,0.4,Torino,"19,033",Stadio Renato Dall'Ara,Davide Massa,Serie-A,1,Siniša Mihajlović,Torino,4-2-3-1,Salvatore Sirigu,it ITA,30-220,90,3,1,2,66.7,0.6,3,5,60.0,16,3,12.5,27.8,9,33.3,35.2,12,1,8.3,1,12.8
Sun,2017-08-20,20:45 ,Sampdoria,2.7,2–1,0.9,Benevento,"19,223",Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Serie-A,1,Marco Giampaolo,Sampdoria,4-3-1-2,Christian Puggioni,it ITA,36-215,90,7,1,6,85.7,1.3,4,9,44.4,31,11,16.1,25.5,12,33.3,35.3,17,0,0.0,3,20.0
