dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2022-08-12,21:00 ,Osasuna,1.5,2–1,0.9,Sevilla,"18,536",Estadio El Sadar,Carlos del Cerro,La-Liga,1,Jagoba Arrasate,Osasuna,4-4-2,Sergio Herrera,es ESP,29-068,90,3,1,2,66.7,1.1,9,19,47.4,28,6,60.7,43.9,4,50.0,44.5,13,0,0.0,2,16.7
Fri,2022-08-12,21:00 ,Osasuna,1.5,2–1,0.9,Sevilla,"18,536",Estadio El Sadar,Carlos del Cerro,La-Liga,1,Lopetegui,Sevilla,4-2-3-1,Yassine Bounou,ma MAR,31-129,90,5,2,3,80.0,1.9,4,11,36.4,38,4,23.7,31.9,5,40.0,37.8,19,1,5.3,0,7.5
Sat,2022-08-13,17:00 ,Celta Vigo,0.4,2–2,1.1,Espanyol,"13,859",Estadio de Balaídos,Miguel Ángel Ortiz Arias,La-Liga,1,Eduardo Coudet,Celta Vigo,4-1-3-2,Agustín Marchesín,ar ARG,34-150,90,2,2,0,50.0,1.2,5,16,31.3,28,4,39.3,36.5,11,45.5,37.1,11,1,9.1,0,13.5
Sat,2022-08-13,17:00 ,Celta Vigo,0.4,2–2,1.1,Espanyol,"13,859",Estadio de Balaídos,Miguel Ángel Ortiz Arias,La-Liga,1,Diego Martínez,Espanyol,4-3-3,Benjamin Lecomte,fr FRA,31-109,90,3,2,1,33.3,1.0,10,19,52.6,20,2,75.0,46.6,5,80.0,55.2,10,0,0.0,2,16.8
Sat,2022-08-13,19:00 ,Valladolid,1.0,0–3,1.5,Villarreal,"17,543",Estadio Municipal José Zorrilla,Mario Melero,La-Liga,1,Pacheta,Valladolid,4-1-4-1,Sergio Asenjo,es ESP,33-046,90,4,3,1,25.0,1.9,6,14,42.9,24,2,37.5,33.3,10,50.0,34.7,7,0,0.0,4,21.4
Sat,2022-08-13,19:00 ,Valladolid,1.0,0–3,1.5,Villarreal,"17,543",Estadio Municipal José Zorrilla,Mario Melero,La-Liga,1,Unai Emery,Villarreal,4-4-2,Gerónimo Rulli,ar ARG,30-085,90,6,0,6,100.0,0.6,5,13,38.5,29,5,24.1,32.4,12,50.0,51.2,16,0,0.0,2,25.5
Sat,2022-08-13,21:00 ,Barcelona,1.9,0–0,0.5,Rayo Vallecano,"81,104",Camp Nou,Alejandro Hernández,La-Liga,1,Xavi,Barcelona,4-3-3,Marc-André ter Stegen,de GER,30-105,90,2,0,2,100.0,0.4,6,8,75.0,53,5,13.2,24.2,6,16.7,27.2,7,0,0.0,0,17.0
Sat,2022-08-13,21:00 ,Barcelona,1.9,0–0,0.5,Rayo Vallecano,"81,104",Camp Nou,Alejandro Hernández,La-Liga,1,Andoni Iraola,Rayo Vallecano,4-2-3-1,Stole Dimitrievski,mk MKD,28-231,90,5,0,5,100.0,1.6,6,30,20.0,26,3,76.9,50.0,13,76.9,62.8,19,0,0.0,2,14.0
Sun,2022-08-14,17:30 ,Cádiz,0.2,0–1,1.5,Real Sociedad,"16,570",Estadio Nuevo Mirandilla,Isidro Díaz de Mera,La-Liga,1,Sergio,Cádiz,4-4-2,Jeremías Ledesma,ar ARG,29-182,90,7,1,6,85.7,2.2,3,11,27.3,16,3,56.3,43.0,4,50.0,48.5,13,2,15.4,1,8.6
Sun,2022-08-14,17:30 ,Cádiz,0.2,0–1,1.5,Real Sociedad,"16,570",Estadio Nuevo Mirandilla,Isidro Díaz de Mera,La-Liga,1,Imanol Alguacil,Real Sociedad,4-1-2-1-2,Álex Remiro,es ESP,27-143,90,1,0,1,100.0,0.1,8,15,53.3,26,3,26.9,30.1,10,80.0,56.4,17,1,5.9,0,5.0
