dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Wed,2021-12-01,18:30 ,Bologna,0.3,1–0,0.9,Roma,"15,780",Stadio Renato Dall'Ara,Luca Pairetto,Serie-A,15,Siniša Mihajlović,Bologna,3-4-3,Łukasz Skorupski,pl POL,30-210,90,5,0,5,100.0,0.2,5,13,38.5,25,3,52.0,36.2,7,0.0,19.7,10,4,40.0,1,11.3
Wed,2021-12-01,18:30 ,Bologna,0.3,1–0,0.9,Roma,"15,780",Stadio Renato Dall'Ara,Luca Pairetto,Serie-A,15,José Mourinho,Roma,3-1-4-2,Rui Patrício,pt POR,33-289,90,3,1,2,66.7,0.8,2,4,50.0,23,8,17.4,28.7,6,0.0,20.5,9,0,0.0,0,9.4
Wed,2021-12-01,20:45 ,Genoa,0.5,0–3,1.2,Milan,"14,000",Stadio Comunale Luigi Ferraris,Juan Sacchi,Serie-A,15,Andriy Shevchenko,Genoa,3-5-2,Salvatore Sirigu,it ITA,34-323,90,5,3,2,40.0,1.3,4,7,57.1,28,2,10.7,24.3,10,40.0,34.4,8,0,0.0,0,
Wed,2021-12-01,20:45 ,Genoa,0.5,0–3,1.2,Milan,"14,000",Stadio Comunale Luigi Ferraris,Juan Sacchi,Serie-A,15,Stefano Pioli,Milan,4-2-3-1,Mike Maignan,fr FRA,26-151,90,3,0,3,100.0,0.8,6,12,50.0,43,6,27.9,31.7,2,0.0,23.0,8,1,12.5,0,4.0
Wed,2021-12-01,20:45 ,Sassuolo,0.3,2–2,0.9,Napoli,"8,192",Mapei Stadium - Città del Tricolore,Ivan Pezzuto,Serie-A,15,Alessio Dionisi,Sassuolo,4-3-3,Andrea Consigli,it ITA,34-308,90,4,2,2,50.0,1.2,4,8,50.0,34,1,14.7,26.1,6,50.0,36.5,12,0,0.0,0,8.0
Wed,2021-12-01,20:45 ,Sassuolo,0.3,2–2,0.9,Napoli,"8,192",Mapei Stadium - Città del Tricolore,Ivan Pezzuto,Serie-A,15,Luciano Spalletti,Napoli,4-3-3,David Ospina,co COL,33-092,90,7,2,5,71.4,0.7,1,5,20.0,27,6,18.5,25.3,2,0.0,10.5,17,1,5.9,2,18.6
Thu,2021-12-02,18:30 ,Torino,0.7,2–2,1.0,Empoli,"7,002",Stadio Olimpico di Torino,Andrea Colombo,Serie-A,15,Ivan Jurić,Torino,3-4-3,Vanja Milinković-Savić,rs SRB,24-285,90,5,2,3,60.0,0.9,10,41,24.4,37,3,89.2,57.2,8,100.0,73.5,29,4,13.8,0,7.0
Thu,2021-12-02,18:30 ,Torino,0.7,2–2,1.0,Empoli,"7,002",Stadio Olimpico di Torino,Andrea Colombo,Serie-A,15,Aurelio Andreazzoli,Empoli,4-3-1-2,Guglielmo Vicario,it ITA,25-056,90,3,2,1,33.3,1.5,4,5,80.0,22,6,13.6,27.5,7,28.6,35.6,6,3,50.0,0,6.6
Thu,2021-12-02,20:45 ,Lazio,1.5,4–4,1.5,Udinese,"7,000",Stadio Olimpico,Marco Piccinini,Serie-A,15,Maurizio Sarri,Lazio,4-3-3,Pepe Reina,es ESP,39-093,90,5,4,1,20.0,2.9,4,10,40.0,27,6,29.6,26.2,7,28.6,30.7,13,2,15.4,1,9.3
Thu,2021-12-02,20:45 ,Lazio,1.5,4–4,1.5,Udinese,"7,000",Stadio Olimpico,Marco Piccinini,Serie-A,15,Luca Gotti,Udinese,4-4-2,Marco Silvestri,it ITA,30-275,90,5,4,1,20.0,2.4,6,18,33.3,26,7,42.3,36.6,9,77.8,51.9,11,0,0.0,0,
