gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2017-08-04,20:45 ,Monaco,2.0,3–2,0.3,Toulouse,"13,572",Stade Louis II.,Clément Turpin,Ligue-1,1,Leonardo Jardim,Monaco,4-4-2,Danijel Subašić,hr CRO,32-281,90,3,2,1,33.3,1.3,5,9,55.6,10,2,70.0,45.5,5,40.0,43.2,2,1,50.0,0,12.2
1,Fri,2017-08-04,20:45 ,Monaco,2.0,3–2,0.3,Toulouse,"13,572",Stade Louis II.,Clément Turpin,Ligue-1,1,Pascal Dupraz,Toulouse,4-3-3,Alban Lafont,fr FRA,18-193,90,7,3,4,57.1,2.5,14,36,38.9,22,1,100.0,54.1,14,100.0,64.3,23,0,0.0,0,8.5
1,Sat,2017-08-05,17:15 ,Paris S-G,2.6,2–0,0.3,Amiens,"46,898",Parc des Princes,Mikael Lesage,Ligue-1,1,Unai Emery,Paris S-G,4-3-3,Alphonse Areola,fr FRA,24-159,90,1,0,1,100.0,0.0,1,3,33.3,36,8,5.6,19.7,4,25.0,31.3,10,2,20.0,6,19.7
1,Sat,2017-08-05,17:15 ,Paris S-G,2.6,2–0,0.3,Amiens,"46,898",Parc des Princes,Mikael Lesage,Ligue-1,1,Christophe Pélissier,Amiens,5-4-1,Régis Gurtner,fr FRA,30-240,90,5,2,3,60.0,3.0,6,17,35.3,23,7,34.8,34.2,13,69.2,48.9,13,1,7.7,0,11.3
1,Sat,2017-08-05,20:00 ,Lyon,1.8,4–0,0.5,Strasbourg,"1,979",Groupama Stadium,Ruddy Buquet,Ligue-1,1,Bruno Génésio,Lyon,4-2-3-1,Anthony Lopes,pt POR,26-308,90,1,0,1,100.0,0.0,3,6,50.0,26,6,19.2,31.3,6,16.7,26.3,14,1,7.1,2,14.2
1,Sat,2017-08-05,20:00 ,Lyon,1.8,4–0,0.5,Strasbourg,"1,979",Groupama Stadium,Ruddy Buquet,Ligue-1,1,Thierry Laurey,Strasbourg,4-1-4-1,Bingourou Kamara,sn SEN,20-288,90,7,4,3,57.1,1.7,5,22,22.7,27,0,63.0,45.0,5,100.0,62.4,12,1,8.3,0,10.5
1,Sat,2017-08-05,20:00 ,Saint-Étienne,0.9,1–0,0.5,Nice,"25,879",Stade Geoffroy-Guichard,François Letexier,Ligue-1,1,Óscar García,Saint-Étienne,4-3-3,Stéphane Ruffier,fr FRA,30-312,90,2,0,2,100.0,1.0,3,9,33.3,28,5,17.9,28.1,5,80.0,47.6,14,2,14.3,0,7.3
1,Sat,2017-08-05,20:00 ,Saint-Étienne,0.9,1–0,0.5,Nice,"25,879",Stade Geoffroy-Guichard,François Letexier,Ligue-1,1,Lucien Favre,Nice,4-2-3-1,Yoan Cardinale,fr FRA,23-131,90,3,1,2,66.7,1.1,4,5,80.0,19,4,10.5,22.6,6,50.0,46.2,3,0,0.0,0,18.0
1,Sat,2017-08-05,20:00 ,Metz,0.6,1–3,1.9,Guingamp,"14,595",Stade Saint-Symphorien,Jérôme Miguelgorry,Ligue-1,1,Philippe Hinschberger,Metz,4-2-3-1,Thomas Didillon,fr FRA,21-250,90,5,3,2,60.0,2.2,5,16,31.3,23,2,39.1,37.7,8,87.5,56.3,12,1,8.3,3,24.0
1,Sat,2017-08-05,20:00 ,Metz,0.6,1–3,1.9,Guingamp,"14,595",Stade Saint-Symphorien,Jérôme Miguelgorry,Ligue-1,1,Antoine Kombouare,Guingamp,4-4-2,Karl-Johan Johnsson,se SWE,27-189,90,4,1,3,75.0,1.1,6,15,40.0,25,7,44.0,35.7,7,57.1,52.9,16,5,31.3,1,13.8
